district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_09,2023_10,2023_11,2023_12,2023_07,2023_08
BALOD,1877.0250718814646,1851.7824707509992,1873.7581440144238,1867.529436601765,1917.8157048813305,1875.4707483292518,1885.103524515638,1891.300864984363,1871.2102202438211,1849.5953588115908,1875.137913282166,1875.7338635971257,1851.5440850384907,1849.7979674004016,1873.8315286803245,1867.4230069019245,1902.0201864190497,1886.479456181954,1878.235764706626,1899.4639137667573,1876.8954553395672,1851.7139465241817,1874.2680536689575,1874.7940453786334,1849.314951065712,1850.530992924161,1873.2612079398675,1888.8108829978316,1898.8513384324633,1880.7724360662914,1892.4591820194423,1901.0403678103053,1871.4432529245457,1847.9786861868379,1875.2605259156862,1875.9126097942565,1849.977649844008,1863.1031319432016,1873.707443134857,1874.0320397570772,1915.3980594884306,1884.628744151674,1884.188471213354,1888.060577225516,1873.1056264237725,1846.8980272852357,1875.314020243392,1875.4952317044801,1851.12809091218,1872.0131497587731,1873.385769226168,1872.7610561840133,1918.2383367661491,1875.8417929987213,1887.7703060548072,1900.1707944765847,1873.2841211728721,1851.8080947687017,1875.2729547408842,1874.0773307795143,1875.3084524739381,1853.557406701158,1873.790402213468,1870.2428899965857,1903.9051164695677,1888.2916949813623,1878.6426974622575,1873.6467387708753,1873.2960415614493,1851.055492753204,1874.119981992954,1877.8359190561403,1868.0450104329552,1850.661046222325,1872.937867879005,1870.2720389649303,1909.8248113495874,1879.528012038586,1892.1013593820398,1866.9122174502054,1871.9249575780473,1846.230098735501,1875.3908853254254,1874.1816084831898,1851.8138578524079,1850.7152728633348,1873.2549785691563,1872.4406823751087,1909.7152167787237,1887.8056136035414,1888.3823449834865,1865.5096052536933,1870.8071558118347,1847.5623189433932,1873.5616131996007,1875.9606703679863,1850.5959938755777,1851.9585288893818,1873.9762982953387,1872.3447314117082,1921.4009742010976,1886.141486333369,1890.1366583972435,1925.3093105973091,1869.9951690767473,1847.5199413295384,1875.0923146180849,1876.6726097329931,1849.6426977189353,1863.2370862903767,1873.8337086652477,1870.8048580194431,1916.7710139991468,1895.999500773465,1872.4607510207404,1848.8360693856496,1871.341308498658,1876.995271672169,,
BALODA BAZAR,1850.6579914097056,1871.3996991880833,1875.2996785735197,1875.448546195423,1919.7548873643902,1894.3634593646152,1882.3454669501457,1869.0252062017703,1876.6567108734403,1855.1337218475358,1881.754369333656,1873.5003195224765,1850.8230233461336,1874.2422068483988,1875.0901660629092,1874.2984105449855,1915.6780113813618,1893.7008397580619,1886.0751310930273,1868.585890425386,1876.1338081649906,1851.3831435886068,1877.1400541662697,1876.4702302848395,1877.4617840326296,1853.693698758491,1874.9734381688208,1868.8869373705204,1915.1296724831875,1891.3906555537912,1906.568340626704,1905.339024535106,1874.4048413925125,1850.3449643651127,1875.8901717183483,1877.1902616577363,1860.0137945417923,1856.0428045647348,1875.089446254431,1879.0297052243566,1912.481083963026,1892.16552013566,1897.721164139084,1891.81550380676,1862.458318747622,1856.5873359200493,1877.4955279670423,1878.8845682560175,1850.2131351417931,1856.2471087844858,1875.246999864497,1866.7912697886602,1906.1097190540788,1895.297478104588,1892.350520229025,1881.700877047232,1860.0530491076033,1849.792409221529,1876.640466188248,1881.6617567775702,1850.7961467100952,1866.262241015914,1873.7986952201582,1865.3547319511326,1908.2904960444787,1892.9593252342163,1890.8062577297324,1874.3231175353849,1876.4610737302853,1856.9461786729528,1876.3240115391784,1880.6817607969992,1851.499292134924,1875.9754992792725,1876.3630695993158,1875.0387860200356,1916.8449120729035,1889.1990261512622,1877.600554811572,1868.898173185468,1857.7397116386737,1851.189327262456,1876.7250574905768,1879.636552469253,1851.1717948813125,1874.96073114242,1873.7653489561776,1872.008745730814,1915.0809889878394,1894.1304301317798,1884.6347202972895,1869.757748274288,1869.986863698558,1853.6046072671177,1879.5488677634162,1879.0986177710315,1875.0877633165437,1855.7190047442919,1875.281883646125,1874.9061117528972,1919.1654544752846,1880.2073687438158,1903.204457485046,1882.2283772441533,1873.9961474174972,1849.7217940722253,1878.5078537956235,1876.886745775908,1857.9747036669694,1855.9054045716591,1875.5111885586973,1871.9825654448823,1916.2688284469082,1893.539049013736,1873.7118185425693,1850.8713730912198,1877.1263326568223,1873.8421453882715,1891.1913030496742,1868.736265880971
BALRAMPUR,1867.5055767422193,1852.5114208569416,1867.9059949374332,1872.7013956454064,1913.8670593776935,1895.9677256404736,1913.0708783507737,1866.5155544778777,1875.4981211102543,1862.027675784249,1876.759778123013,1874.742605240217,1851.1595796258666,1851.1599736163496,1873.2986508427168,1874.521303487025,1914.781614063944,1898.4439410176562,1919.4213363159163,1866.4743646647187,1871.0275256000966,1849.756685742799,1877.0761639706736,1876.3393766275285,1871.3498916544868,1852.3497471159615,1868.6267741464603,1872.4000122179941,1904.6407565065601,1890.1958738578826,1921.5268446725524,1865.4719042030706,1873.011866957816,1848.2760614027575,1876.7202659664847,1877.4872520216684,1868.9897636004423,1853.6488981541054,1873.286524375123,1872.9768514799025,1901.2270244885638,1891.8746041999188,1900.923317249364,1883.2478717940937,1869.9635057379803,1860.308997730976,1876.753242582728,1876.9394976878018,1870.1280131045276,1852.0587645495805,1871.6312057497066,1869.7150450964214,1910.3283921487282,1882.8764767759947,1889.2593160829124,1874.4160013320559,1870.4100127950192,1857.5696597325214,1876.3885118307528,1877.6597725729196,1874.7782750799129,1853.4866906703803,1871.26985053474,1868.6329246886075,1913.8692270802726,1893.6315159803144,1909.5488433480016,1869.462765050831,1868.1240027492504,1848.1075515741677,1876.9553562754263,1874.792297629417,1866.774002297004,1850.743561877911,1875.8829218249011,1867.546523706582,1916.906949874028,1891.7028885745397,1919.612589387857,1879.6552425892598,1871.237396010288,1867.5764775341847,1878.7825517763,1875.8651178322903,1848.511213297716,1852.3378399004516,1871.8104091366388,1869.6069844232625,1915.194864847293,1892.4078066259387,1918.6417473290433,1880.5600309324739,1870.774537634613,1849.4828248863728,1877.5787938722522,1877.3876784675892,1867.6444864076268,1852.6030034007902,1873.2533132613132,1874.628942750576,1911.8809164733138,1893.524982698953,1910.0982642892552,1866.1838719826662,1872.2598844216159,1848.3449285691659,1876.824027018185,1877.0856425467002,1869.4630074494871,1854.32238303162,1865.9862114736322,1865.6631078174169,1907.5929449704745,1889.229231622041,1872.9254432275316,1850.4427990176957,1876.76576556974,1875.0104228630878,1921.6020903774756,1871.2004643772327
BASTAR,1851.6479626129092,1877.8232566519216,1876.5048283031642,1850.041131093141,1914.2763816927052,1868.8430543843572,1876.9063526998964,1892.7798829820565,1878.1746926603723,,1881.673300231059,1872.4686412600668,1852.4985307309382,1877.5280027636286,1875.4034949922873,1876.133572480332,1900.4677673291126,1880.662149796548,,1923.3505269600219,1873.570380724702,1856.4716838715026,1876.6953733248201,1878.038827048477,1850.3858632561046,1857.2513700091492,1876.1753075675583,1872.5393331828864,1895.8596999908043,1875.5332348665338,1883.6802785695343,1927.597906034364,1877.716420416254,1854.2643607380376,1877.6460471204562,1877.404238161334,1850.0178393499018,1871.7935879463882,1876.035275689931,1873.260696843031,1894.948691078273,1881.6782815958786,,1923.7118016163893,1865.8646593040335,1854.5839543508562,1877.5041265562468,1877.2858436389886,1850.2207090883676,1855.3343871150432,1875.8872117170479,1865.7124402364018,1889.665383922744,1871.104779787645,1875.099723365226,1897.0536130489008,1864.5031024000787,1850.3842846941377,1874.2018606611816,1877.8413883055348,1850.540403399612,1875.3597665725656,1876.4602794134864,1884.5056893077435,1920.969559735476,1869.782387114387,1883.9444220592939,,1877.2272974087161,1876.8013644058158,1876.7673852994358,1880.440435729054,1850.9669435777582,1878.287114088315,1876.539934007484,1875.9258037588397,1918.949436484019,1888.059916549554,1886.0953781193075,1889.0340899221085,1868.8374678633613,1849.773570850126,1879.9703656487065,1881.8200113439427,1850.9108266751878,1877.9926790686932,1875.5212035411794,1876.1852466077578,1902.3231360906677,1875.4778223873,1885.3295819216073,1876.717391217609,1876.5104531651536,1856.9658190743594,1878.5232219192005,1879.8555162186149,1850.722780693152,1858.0267600480106,1875.9994411252808,1865.2150708157312,1895.1349699819075,1877.8169579968494,1884.4568827507626,1865.0960719319862,1879.149702609635,1855.3939817722764,1877.9632184639993,1877.408299225822,1850.1156952929857,1872.9848583135424,1851.3948370812805,1866.1355466299551,1889.3933090727307,1875.0878192167258,1870.7847843638933,1854.729884360088,1876.56515740494,1875.0602167460315,,
BEMETARA,1874.5029000037841,1852.6356686627607,1872.8769273972368,1873.5803950989236,1923.9994313218447,1898.1107323102988,1884.815824182771,1880.038056421061,1873.2017394486775,1850.5967028934367,1874.9352897562037,1873.824137157649,1876.059887532582,1848.0834381259035,1874.9020453633154,1869.1282759828277,1913.8725053198614,1897.1284657276935,1882.9277202026926,1883.7702903325812,1874.8436162522082,1851.870034689885,1874.682287167684,1874.6701398742566,1847.3097970727117,1849.4478691796417,1873.472885117999,1907.490497093998,1908.7726283347588,1895.439897675798,1899.6503051360376,1893.8492632926514,1874.1381349156943,1845.5444949949529,1874.7655941268165,1874.7252368017566,1850.6551614931304,1846.6821362322187,1872.9754225231834,1880.2363532880072,1903.2640821741682,1894.0885710150324,1893.317985748025,1894.965915183207,1873.3262924230216,1851.4728144203652,1874.077093329756,1874.9943823990607,1851.4831853959963,1862.1200953970647,1873.3271171225265,1872.0799413065045,1924.29696357627,1888.4963478985035,1886.4213519950233,1867.8751805532136,1873.041085606456,1850.4405923369952,1874.7694660732004,1877.0132145874034,1875.5552450450284,1852.655467751727,1874.4078470672519,1886.5773205022674,1897.0787125392228,1900.3773473796239,1886.8245932084583,1872.1614323033552,1871.8533415818538,1846.6606044850475,1874.55026086066,1875.7135531998397,1875.8354462321076,1855.1759994425151,1874.5164935296395,1871.556697735816,1916.0593697458899,1875.846884403359,1881.9011364301189,1865.8783677809795,1872.4695662612469,1846.6781625244655,1874.438745911847,1874.9281089999004,1872.1442864747537,1848.3241347027056,1873.7374169233758,1892.087788373085,1914.4167568308433,1894.161363711438,1885.4028520888194,1867.0600703545108,1873.6579981416041,1850.1465143039509,1874.7035008644743,1874.6274837512888,1850.19766888032,1848.1461821867742,1874.3004633308,1873.1358046206508,1912.0599048213248,1901.8849306039983,1894.2960092155008,1921.4498654777237,1869.6480511729617,1845.634029722294,1874.7643190857054,1874.3509949586546,1847.1932226654392,1848.0033501864575,1874.448246723825,1871.0532932359522,1920.6986674388447,1894.8246307553957,1873.1519215917685,1856.8677844427862,1874.1435003408728,1876.5958555506904,,
BIJAPUR,1850.2785888515052,1856.480028375265,1867.4540986581055,1886.5773677366528,1905.507529391849,1868.0868074151224,1895.1146847594841,1890.3253464518723,1872.8944340240448,1850.621496687661,1874.0696652083316,1875.1209168659093,1851.549539359261,1865.7094730287172,,1882.8118349722315,1889.8328775230866,1873.1841803724153,1877.205157131069,1902.8358409109758,1871.8868992756084,1854.7413650176798,1873.505325843042,1877.3178160991008,1851.856895131515,1870.1928254759428,1873.8048698653104,1873.7903761593889,1888.9089481177127,1870.923950380396,1889.5903955333551,1894.4232677438044,1872.3621126534397,1847.0202856118347,1876.4005544951385,1877.9261129880595,1848.9474029209023,1872.9085961913781,1871.1298410892728,1874.2832656627124,1906.3466760267597,1880.1249132087262,1876.969154615072,1897.7174580923986,1871.8856954206724,1848.4176909610562,1878.4486407753259,1878.4942858390548,1851.0553470843258,1876.4051991618983,1874.016423139884,1872.7859487814615,1898.1962804321834,1870.8096217890927,1878.6690348811055,1874.7802417718412,1872.7953696467523,1852.8110278888646,1874.5639369836604,1875.8192400464752,1850.7239334911033,1854.93976379434,1874.0975985603643,1868.1916293076715,1907.4550408067807,1868.6610267963867,1887.8943395701474,1868.765606521752,1873.5859824751267,1857.1241118152786,1877.210516411981,1879.3284134372577,1848.7642974490077,1858.0740828491632,1873.2468602341091,1867.979678831267,1901.1067068109746,1871.9496530870586,1878.6960288471168,1864.1260887639207,1874.5132847392895,1850.74823837727,1878.6562357041914,1877.3050796122213,1849.2921968261355,1873.010389783134,1873.912254907792,1871.357120278955,1894.5715445810995,1870.440798912245,1889.5303581208714,1875.4575079394738,1872.7842828632963,1852.9831828042475,1874.657715086021,1878.8861862023014,1851.1790943624922,1872.2496317065024,1873.7662916193797,1885.5734888079226,1914.339311075509,1874.1605248374428,1882.9340288027627,1929.3280917846773,1871.9689159885233,1847.8650724104773,1876.4211788862347,1878.1211002696384,1849.8648685726341,1873.6169942288332,1867.4130133189028,1871.110846183158,1914.178357495929,1873.7172402558858,1873.021431391879,1850.5279284789476,1876.9488025850103,1876.8291088416142,1876.3595240284942,1919.5957178196547
BILASPUR,1851.998595286612,1869.9861158598394,1866.5562405594092,1876.0526992350403,1919.239718010232,1890.9171913127404,1891.7338650550123,1865.360588570548,1874.1801650446482,1851.576728513554,1881.1530116023782,1874.238903846552,1852.7810428052367,1872.7118899258837,1874.159821696686,1872.6561203205306,1903.2434922857585,1897.4092335295784,1902.3983200109112,1865.5922871408898,1874.0534647412767,1852.1614937984184,1876.5249404992728,1875.505302714849,1881.5179128536424,1853.2902467577203,1869.4614239017822,1875.317199675547,1910.1336685874628,1893.809815658056,1912.8044555765193,1917.2010383599916,1871.1981316062586,1851.3309933508685,1875.560664306756,1875.7641255681467,1854.8822012155101,1855.512294803748,1873.6308829087254,1873.5010870535607,1918.307231892818,1895.4546671825665,1890.3827307912452,1876.746652629927,1873.327765418395,1865.088355890444,1876.123968883392,1879.6992594254118,1850.5921286681673,1855.8544704735393,1873.6866756908125,1870.295459502845,1916.448255147981,1896.1905218042486,1881.4848864091118,1865.7062303394016,1863.0631708544154,1849.8886447656748,1876.1162093802945,1881.3556657649078,1852.9869141385798,1860.0626134137144,1871.7735443360664,1866.7918681485678,1909.6601274036143,1890.83929410619,1892.5645646064786,1868.0567104725621,1873.8243431109568,1856.026351896427,1875.9337893426132,1881.4329670593395,1853.478355858085,1873.0459210281085,1875.232764317374,1873.787570937285,1920.1623844933117,1880.5771052393004,1887.508779161176,1864.9070963300155,1864.514577341087,1849.5525505958212,1878.2964803736784,1876.102722089204,1853.410816391042,1869.5565760064176,1873.8809989442366,1876.7532354104558,1921.0627620180082,1887.807466462573,1883.4745559947387,1866.948428459178,1871.0209723941985,1853.5070598562982,1879.4315017925517,1880.1884035775704,1881.2866497411405,1854.4062214042983,1874.131404147888,1874.5291964448131,1921.5164279412554,1887.5059349464361,1888.2695267332242,1920.6977763614595,1874.8882815470822,1849.2982381224292,1876.4833596354742,1875.9973947678222,1852.539050195796,1856.0114472811151,1872.6835222975749,1873.4849564225528,1915.4762084284819,1894.4377720008652,1874.7477678859839,1852.658243902705,1875.610192605925,1878.2742734830165,1901.938079026628,
DAKSHIN BASTAR DANTEWADA,1851.2904984256504,1877.9819452865518,1874.0879285628214,1859.8578937347327,1905.661887313699,1870.3250752585927,1872.2336373887367,1867.6016892561292,1872.6979683771192,,1870.6698424515853,1873.954545678247,1852.5071536668838,1874.7116810826597,1871.312704819715,1873.34693006316,1892.3962571306442,1876.6690824617936,,1916.6154357359403,1867.2475518612464,1870.5674391306582,1876.1160193253063,1880.7885210199133,1850.820522532532,1869.6395229495097,1874.0747532860366,1873.869317794431,1890.9685649503294,1871.9226691280458,1882.5979565780212,1922.063703460185,1873.7785261251222,1856.4732262528767,1877.671154806538,1878.1248746717088,1850.614643044788,1874.5783335296899,1873.1343698609,1876.3179762242776,1893.8007088665843,,,1915.0211934739675,1865.403275010286,1855.483084655273,1879.599509032401,1878.9691071539226,1850.7139242598003,1868.2207297506975,1873.474571098441,1863.5636927960352,1890.4931940497277,1863.1593845127213,1872.9652155669844,,1866.5944205912826,1851.80508474157,1874.6696408337582,1879.9922694432794,1850.5981940115273,1877.305660061618,1873.6893503857268,1866.1740802337365,1922.777443918764,1866.7460914507712,1883.179672780343,1931.6713097584063,1874.3456071132196,1877.2617623798642,1876.355168137958,1882.559630324649,1851.2576347989857,1875.4772549790616,1874.0365825599254,1873.469092106427,1909.5198927242716,1875.317317778483,1876.8885677005326,1867.1679741412477,1871.9368494743364,1849.8389041732726,1879.9094183542293,1882.8111328052173,1852.165473245704,1874.7875796926633,1873.4829680186306,1873.8073324298039,1892.8768663431663,1862.752346883368,1885.6917752302556,1867.7733698402649,,1859.8219186108247,1879.0415296189728,1880.3356633354476,1851.0769838734345,1874.3372317016533,1873.8782007592563,1871.1656817032524,1890.8163541384533,1871.7337186759187,1881.2590320145662,1867.2169961279453,1874.591928640945,1856.5907795765204,1876.0313523494056,1876.4067186542104,1850.1940899417732,1874.8767909280962,1860.655412800458,1864.6720325504868,1893.4301221673854,1869.922867339691,1869.9448428254332,1855.017567427536,1878.0297134112197,1877.482603838854,,
DHAMTARI,1850.656414256345,1874.4153316834802,1875.2330468191456,1862.7295222753514,1913.3145154806755,1894.5639102383643,1882.511921736583,1866.824959023166,1877.4673187923274,1857.5876437139684,1881.7860593294595,1874.2493904607636,1851.5220150786574,1877.3803013839351,1875.5426342796497,1873.8802124485753,1903.7303100286451,1892.4906995678605,1881.0077015339616,1915.0681831723273,1867.1285810944978,1855.1784956883455,1875.2529413101483,1879.7979113404144,1850.0301456267762,1856.1678818786174,1873.4430740218947,1871.3906108148674,1905.5829605133438,1887.7100369052037,1890.2195506012076,1902.626546462445,1867.6101549828672,1851.1945424048888,1877.3437085149117,1878.8786732985518,1850.834337281728,1856.206172581086,1874.6305717369048,1874.6610692193515,1902.7150300326634,1883.6148325523502,1884.261440571298,1907.8463159144367,1870.2301720707337,1851.9965185180022,1877.4872390494304,1878.521925246636,1850.4411758926915,1876.4662032814128,1873.7477181672825,1862.4866046405261,1891.6647954630182,1884.8175171652097,1889.6696584694478,1903.3209532921403,1857.2982981575144,1849.1870421888052,1877.0650335251107,1881.849441806167,1851.5323806965173,1875.0495718582831,1875.5446823935465,1864.9708288911086,1915.8902045080736,1870.62693678646,1890.3467277994066,1888.0332119197042,1875.8604482986243,1875.5561953200984,1877.622392870102,1879.2033280584078,1852.5770519866617,1873.7587290452425,1875.8267292681555,1874.5943388831147,1916.3603609447994,1878.1616921501225,1893.7026266265043,1866.7354688773785,1861.085201795872,1850.5828599149354,1880.212325214331,1877.671671238229,1851.4139324451478,1876.8842873071649,1866.490849830956,1875.7658378003955,1909.6876490998195,1892.2329605348161,1887.4222045672668,1865.6470625590505,1874.4738266892048,1855.3876253007945,1875.600371056807,1878.9659678298888,1850.6065325551915,1856.5742318966466,1874.8644914334548,1875.0903642021347,1910.1486936940266,1880.7785643456282,1890.4825062915281,1914.756333080472,1876.8263007925839,1854.265523742531,1879.7816466318725,1877.7566541615142,1850.204000159797,1856.429250714548,1875.5043461765638,1871.7253071950727,1897.4208390718325,1887.9345284266612,1875.8622881478234,1851.910088930538,1881.4777378409456,1872.1898380821951,,
