district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2018_07
ALAPPUZHA,1877.4456573347536,1878.7407524189318,1864.8120446034525,1865.4278943303743,1864.63514500738,1843.702020703002,1843.287206845712,1876.5180689430892,1868.0736167656173,1878.9515456365368,1855.1932829412988,1855.3570926842726,1878.0075245768892,1878.520280004474,1867.9608805566947,1868.2581386628865,1865.2063355385708,1863.4524719767437,1874.9411726483634,1874.0119927125936,1866.2683708165669,1863.3122121874956,1856.902851335322,1851.6785355757352,1879.4634175111528,1878.6661954633191,1875.6240897422203,1865.0638202065898,1864.4411072155585,1872.281954392459,1845.8728229096196,1873.0564433246843,1868.4253809278628,1877.909277824767,1857.184482579216,1854.9976216474345,1857.4259084375335,1877.5363597484252,1878.406070696463,1866.3138409032063,1865.976302807897,1846.3454506120747,1846.884919386006,1864.8946956292245,1885.9774990678964,1845.4364480605523,1854.71051839349,1852.5483620784257,1859.9772754974788,1878.467083706481,1849.0510837828615,1866.4542059265661,1862.1932023502873,1878.7378481829617,1843.992770712041,1869.0168149615376,1850.53010557087,1853.5488279983322,1853.7833919099721,1879.7791988178703,1869.1209679857407,1877.653122592184,1869.3151701859113,1862.3555750180046,1855.4558620230841,1843.139496321014,1850.3496736459292,1869.8024444452676,1879.7608196853942,1854.6815870480084,1852.1349259386664,1877.8427613068895,1878.5186514007528,1878.749026862701,1861.9393731144332,1868.8383070173163,1852.401379196608,1844.9850724014727,1855.6026853929402,1867.9737956790718,1864.3510960967706,1855.7440913663443,1854.7353599365288,1872.938512678693,1878.6332811247137,1877.1919427082428,1865.768297472537,1865.5378210632816,1841.7202662604936,1848.3868589040317,1880.1827141579818,1867.801660771946,1863.5772196102766,1855.7822968335333,1854.5482280254616,1879.6422902760905,1873.8450882186025,1868.7626508360656,1865.9856208292233,1866.5562713052964,1847.106825102107,1878.1252425996056,1865.814568898811,1890.4960027447341,1877.8034510363893,1857.0996963180253,1851.7569515246591,1856.8371024022542,1848.888713153635,1877.891275197629,1863.581327289734,1869.0650179333982,1855.5771597593127,1877.9297240744147,1865.0043385361353,1873.5864705046843,1853.5478301637017,1855.312008987332,1854.6765810943054,
ERNAKULAM,1872.5163622716886,1877.5949029834965,1851.1996380240323,1872.4946765823352,1864.5408480923627,1850.8780794793227,1849.3146072312554,1877.0616714461742,1867.1773932847202,1877.257099176518,1853.1985058162545,1852.1728440957136,1876.4890945222755,1877.6214735657911,1873.0418852865246,1869.6706309204392,1866.6805971926963,1851.4376907994806,1872.0053655313336,1874.9329281170558,1866.2250783685615,1871.9936032807354,1856.8855034390797,1851.2227132348733,1878.143886527181,1877.0654581596407,1876.8453277908689,1865.1824977060737,1864.8768105882998,1876.2440751060506,1849.8311009474862,1868.7116071011988,1866.084429751777,1877.1591040588246,1855.715145282317,1850.6664838003387,1856.7764789098046,1876.4827924802667,1877.0362237100092,1867.213630310241,1865.3270609932988,1849.212832974922,1868.2231257889437,1863.9698553894887,,1849.0231053149191,1853.1550829479029,1851.4403953135643,1857.0251495694572,1877.445174610935,1861.9232017580105,1865.0992861711027,1867.7815638785007,1877.4465920172843,1862.2591849321993,1868.7866634135983,1868.704118394875,1853.6233146909126,1850.441792288656,1867.6405365591943,1855.1397843455072,1876.7627116815627,1868.1350746397864,1864.0913079943964,1873.9463442239976,1850.3396685542928,1867.5008136653682,1868.3912374461427,1878.1623560786495,1853.6305925614352,1850.7015953081584,1874.5055926771481,1877.257050814232,1877.5730462952356,1865.488575559212,1868.1391588030056,1854.5410232138595,1876.314589603622,1876.6934330693218,1867.5777494527156,1862.9519056935735,1852.714825948562,1852.6291666374702,1877.5223138526703,1877.532978475273,1876.873610714754,1867.6516612153384,1866.7933596000319,1857.8851414665019,1869.5276862029302,1871.4322365965372,1867.6449069752557,1854.7444245537483,1850.9599003472993,1850.9943826262534,1878.1732562040286,1877.4676638681638,1877.9477286651888,1865.7699985972906,1867.03388850713,1877.771378031613,1852.6264350800461,1866.1584536989649,1885.4193764488855,1877.243623347031,1854.9208316105487,1850.3794061271917,1856.6732503777478,1870.6397237931262,1872.1448896528232,1865.003360844424,1865.4440303035233,1879.5613282037443,1876.8833671862726,1865.18984421816,1871.0433556894036,1858.4224516755096,1855.314024164348,1850.855109174517,
IDUKKI,1856.7823143910734,1875.2384245647434,1874.6780938327252,1883.9216078611123,1863.6681289774779,1869.126727463866,1867.9715506444231,1869.8455632443238,1876.1938110554038,1872.5675858823947,1852.9405235758584,1849.5342639968467,1872.6794707795164,1875.5768954719,1874.68447182784,1864.4996044596032,1865.5451906837839,1870.065113083626,1873.1752745660342,1866.8640766415263,1869.187328420479,1871.0777184191245,1852.843466485766,1850.1083598710463,1871.0441243494183,1874.21981440639,1876.5175934270417,1864.8670596171314,1864.2751081935285,1873.140325875763,1868.7654964470098,1866.1853230336767,1866.7618558229578,1873.2440890663456,1854.5503648079048,1849.6724528954467,1851.4811718665335,1875.8810072696024,1874.492314589231,1866.1304468758674,1864.387540623274,1871.6509250584518,1871.0091321482714,1864.4861657726244,1870.3389138039468,1869.2419662275397,1853.6609216145305,1848.6217895057523,1851.8224256235612,1875.570263269852,1870.7990649534304,1871.897712956961,1874.047154877109,1871.7092211248423,1872.4603843667237,1894.6046598466226,1872.991357532378,1852.7822777529022,1848.8425959538272,1853.1786268365731,1874.7768801791537,1875.4899760615556,1880.371737983238,1865.7093339142687,1875.0752620600545,1870.070666078111,1872.8270805583195,1896.5381981914181,1874.0474744988617,1851.001966214951,1849.2956679012468,1872.2174657381809,1875.421700362562,1875.5025872082215,1881.9160792222042,1869.0500787563044,1869.3923538373929,1873.2920091120814,1868.3941583932035,1876.9857717479417,1872.511775080808,1851.4082263546481,1853.4619383401564,1869.3589108362582,1875.6348534271408,1875.5894227505494,1865.7862989145378,1866.4644333181682,1870.8245783179364,1870.829193524647,1865.3041333430124,1870.593804579239,1871.303146184002,1850.7891554119997,1850.0066722206568,1870.6129238915555,1875.9343054104359,1876.174584214736,1865.1121218095623,1865.3407622090829,1876.4076432822585,1869.105142187674,1865.7694903312579,1906.9430180158538,1874.9709101289095,1853.7402205052463,1847.1435776396388,1851.8789957444471,1872.1749196885594,1877.3086895229453,1868.3043376926992,1863.4693618158099,1873.4390791231258,1874.0750730963273,1866.435741263968,1908.5015589139311,1869.4167412279137,1854.2740289984054,1848.4643304991464,1871.196597717926
KANNUR,1854.6710905795387,1877.5869767195882,1877.8888829186888,1865.9744548375975,1871.9441479600575,1872.438764782,1859.1190729831885,,1871.057821052724,1853.7522223885103,1851.0958781252448,1852.484958580875,1854.3025338723075,1877.5290966200635,1876.7880088373513,1867.0938238922006,1869.7000084669517,1863.6314884558358,,1869.09494022763,1868.6553421872086,1852.1906497899233,1846.7258542132213,1850.4169155395234,1856.6056816404898,1877.9587365338725,1876.814980578467,1865.9002942593572,1870.0916992593557,1866.9543478623025,1867.0598694483044,1865.7072375899122,1868.5959889957264,1877.9687909193765,1850.7880405083083,1852.50108017661,1857.45515612962,1874.104820113573,1877.727614061919,1887.1001729516672,1886.0231918490626,1869.647375068069,1862.1844076056993,1867.2857979638325,1865.6596962437893,1879.4971794218495,1850.5182581000377,1850.0821194491039,1858.2495527533456,1872.9908818720091,1877.3009878264493,1872.7292257782074,1887.8502968837809,1863.437659802971,1865.9383657534995,1863.2966183115043,1877.2913007492969,1850.7973873660778,1849.9689493395267,1869.6986858692228,1878.1829187417163,1865.3850058106711,1863.0560622184166,1884.9595952281818,1875.9735352784182,1865.7996315142577,1875.718347700215,1864.713848670807,1878.2106018992054,1850.1864663065971,1850.778898485745,1852.4753868650241,1878.0585696725511,1878.0955226718497,1866.1057065100192,1864.558790044088,1875.9856617809023,1859.3166693045225,1867.2455965385996,1874.4457011075326,1878.201607023418,1848.5316728873677,1850.971603045744,1852.9169355402958,1877.726052681812,1848.2917830588951,1865.4644893153607,1870.184728862368,1877.5040442662264,,1868.1530291703136,1868.706009703052,1862.8823654928835,1857.3165739740969,1850.5253604723046,1857.9592698882418,1877.307366922234,1877.86347921444,1869.79418967998,1874.0036592634128,1864.0800164980442,1870.7458629868775,1870.5852629743883,1867.2605835488002,1878.0423233718907,1850.508718450547,1849.9822532520493,1856.6599225247974,1878.0924715827518,1878.220987068279,1890.4214438587044,1886.643957622559,1872.8751828993593,1874.6189894822583,1865.109291429896,1866.59075647882,1878.851777224016,1851.4497237675844,1850.6791387917272,
KASARAGOD,1854.0841211166526,1873.6433701497817,1872.1448382627643,1865.0750425187866,1872.638400875654,1874.8591478946623,1873.1263211202138,1891.3971544523276,1867.326622330123,1871.3521447597611,1851.6755404221917,1849.81223785385,1853.690756106676,1873.8359602617625,1871.5911998413255,1865.0241336132879,1868.3878174656463,1865.1535926831727,1867.0732631876513,1867.097017749897,1866.028123188394,1873.0214378925086,1846.4902427723068,1849.4001228016425,1852.8963977911021,1872.535363271953,1873.5807024936064,1865.9103237638,1870.9972264819596,1867.6002910018378,1873.0359514464628,1866.3983591730039,1866.2414577860081,1868.291555682184,1850.399237352921,1852.3250003166247,1853.8424361155821,1872.3525120291872,1873.260241587637,1866.7092251748422,1899.4745820082933,1873.6310226498265,1872.7024200757799,1865.7600763581559,1866.1710794218645,1877.1879797156982,1849.4076820082091,1850.4111951245595,1854.4804045936287,1872.993591743334,1872.141769667778,1876.2901927895557,1898.754833900069,1860.2083061635087,1868.2893809452455,1872.8739919655875,1870.6143546139501,1849.6496689721753,1850.3781420228138,1869.7029696977363,1873.5558904490993,1874.0457780104311,1868.760742138271,1895.7607085367952,1876.9867256906423,1873.2114052440593,1864.6693278444022,1877.1962364971337,1873.7581298347745,1850.6270340311235,1848.0180487882656,1852.7889876016131,1875.5720060057795,1872.9138123232347,1864.7333155545386,1862.1502562023725,1873.9271552797363,1872.1202899789785,1865.9808350898743,1914.5963579457443,1872.2441719624137,1850.8231584439757,1848.8994978873316,1852.487675176993,1873.2020142954125,1875.5011963468746,1865.435826035904,1867.1418523463715,1863.150744820181,1860.024138020634,1871.173726155689,1865.8836473110478,1871.7717493201972,1853.7633070351078,1850.0049139904393,1853.621204143892,1873.8906012520567,1873.0183659440145,1864.7123112316983,1871.2534618970117,1865.4272491641268,1874.1378971135732,1865.3487222822341,1865.2126849662884,1873.622955574904,1850.663617020877,1850.1676417940903,1854.1679525062543,1880.320009488589,1874.754996499705,1862.0710591581096,1908.873576715211,1876.3005301919252,1874.6864108535324,1865.33276292612,1866.7470314379116,1876.6374191285747,1848.7674305224307,1849.8857516233159,1864.5475739424908
KOLLAM,1874.6719624544871,1875.6049222759732,1874.4681824730221,1875.2549241719823,1866.5503900574704,1867.4999701506574,1868.622206865991,1872.6104398543368,1891.7045760414417,1873.1747348393762,1854.248558630672,1852.4655725319271,1871.8233903467874,1875.8832051139618,1870.8433985218344,1864.4453704908458,1866.1838460296915,1874.744520818728,1873.716107781978,1875.2986580554584,1873.613051423667,1872.9914616103686,1851.0731013804107,1850.7448717414718,1877.3085867850652,1874.7509333988712,1875.8890453859942,1865.1523629532148,1862.136510328186,1873.9582431099402,1872.335860477578,1867.4055685715437,1868.8820734177464,1875.0996017133675,1852.4782645039345,1852.793495255882,1850.9813173679006,1874.1976213760124,1874.3034952146845,1866.431628140202,1865.4300506786947,1873.3914728584205,1867.948077354244,1865.7066434266305,1900.8800111490434,1867.715785252496,1854.6829087238852,1852.2387547626793,1853.2479198533765,1875.59986819756,1873.0363544480008,1871.4552750875766,1867.714173316598,1872.6691725657665,1872.6400464030028,1884.902113042447,1866.1937900307444,1852.886263368046,1851.6750948392028,1874.4993158926288,1874.1534498941467,1875.5002008043527,1876.0589337893307,1867.7152051231042,1869.5893520807663,1868.489239484752,1870.8212800490426,1901.5004735072714,1874.4365715265656,1852.4436528878653,1850.2718774911245,1873.9307102515377,1876.0960108467928,1875.4026603668874,1874.5853622380898,1871.5677593835892,1868.8132459041788,1870.875728151564,1870.8852028850133,1889.5305877923986,1876.2207228799643,1853.9485118652533,1852.1475814933108,1868.9401767275265,1875.8387463813885,1874.5659141313126,1864.757345412836,1866.0368248107497,1869.2342575467167,1868.3740962457252,1871.3568318768994,1877.054215056606,1874.1395615292008,1849.1216405722066,1854.3488633746044,1878.330086720186,1877.3185942432565,1875.3799608064428,1864.96041810051,1863.1943768744618,1866.4126978153274,1869.288724982232,1865.809071738075,1904.41605986133,1875.0788834185616,1854.4313291347826,1851.6789385949908,1851.218246239348,1871.0856212805786,1873.2711354995022,1867.754992990442,1868.9670405887098,1872.9171524325525,1867.2459902802339,1867.6673716668236,1905.866213913095,1869.262953655666,1854.356156860266,1851.7115310104516,1868.5638994751416
