district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_09,2020_10,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_05,2023_06,2023_08,2023_09,2023_10,2023_11,2023_12,2016_07,2018_08,2020_08,2020_11,2021_09,2023_04,2023_07,2022_07
AHAMADNAGAR,1850.8685813886168,1875.1836871758824,1873.9924300443952,1866.9803346534866,1895.2655809573077,1879.8473358291526,1881.3843317940168,1898.4472588476033,1874.7191402273406,1853.2901795586613,1875.0496148934221,1874.463892872002,1849.738202509294,1859.3817756769151,1874.896694238441,1873.3436067684474,1888.8131697637389,1876.8606475776771,1884.7651847675418,1890.5973316672325,1874.0734875526034,1852.0242392441287,1875.48267587486,1875.7954093001122,1851.4425704429007,1862.1255868179992,1874.7782974410816,1878.1958854690786,1891.9462339128318,1873.7512016512685,1911.2440784086136,1872.7130632509375,1850.902601022945,1874.350508153758,1876.3213343346133,1850.9625169266208,1864.251849554259,1877.0346251889973,1890.8426467823526,1890.0360746255371,1875.2108123615274,1878.8097553516673,1893.7697068209882,1864.972199255762,1850.7314038488746,1875.7959164288711,1874.9934655732081,1850.7332931288022,1871.5211050678336,1871.190650709629,1886.3751823252276,1898.1614639864397,1874.205888060307,1898.2728842613906,1873.8739925505854,1850.9582697580504,1875.2912663094232,1875.7824692436566,1850.7352134669457,1874.8667319961755,1880.8056874934093,1883.1208891240815,1890.3508840760092,1875.4298089939746,1887.9309452938135,1888.9641265371088,1869.7294044545902,1849.8360685620517,1877.1610804641841,1877.3958901203036,1850.9234905744868,1858.776175701572,1874.3544725919267,1870.3284362791205,1894.5050280279613,1876.3039012967108,1886.6984716144848,1871.1999675902553,1853.9037567551654,1875.7655074559877,1850.4232483601531,1859.6519976904215,1874.8897794192828,1879.0136157460631,1906.3473323688522,1879.5049933089165,1876.1398970149514,1864.8013806030522,1852.039391422952,1875.584365351237,1876.6743647718588,1849.7340997344597,1865.6454248375853,1873.2405161771946,1873.8532484386756,1901.6932881221712,1873.1260668275274,1891.2213922366195,1872.9189088446021,1851.751037563059,1875.1933084835268,1875.8090858183498,1850.8909717273318,1866.4546065381096,1875.8769867143244,1890.8415127681294,1877.9854071367224,1887.6750036892377,1873.9506642047938,1852.2447699060792,1876.0256802530903,1876.8142592109846,,,,,,,,
AKOLA,1855.8551727791184,1853.850078394843,1874.2694081014376,1873.9123638543774,1892.2630996958283,1888.0186046937572,1886.2010177935472,1912.743782025645,1873.1772877507801,1852.1970777542547,1878.9483108040781,1875.80895486288,1850.5148890667258,1853.286388175786,1874.2983835827288,1868.924899894713,1897.397753415282,1889.6392096225466,1893.4710969651721,1886.5370646387457,1865.108260959527,1851.6783630310292,1875.8020241683125,1875.7887446289078,1849.4425466819291,1868.8142609227457,1866.7686226562394,1871.0272818617434,1893.280767020871,1890.5567397996056,1874.3488257907654,1869.4886692491614,1851.3427693439646,1875.7901840363065,1875.8077517884026,1849.1912947671397,1863.1063881254092,1873.8620505495942,1896.7119566226506,1891.1691513541732,1876.1345707342946,1875.643719747879,1922.6660751381246,1874.7867647474905,1849.9051414368598,1875.739676936259,1875.1417822775807,1855.4210540375652,1866.6758261001983,1873.445251100767,1878.8302260179137,1881.3042449940085,1885.396504556796,1899.3842974530623,1874.2938272946437,1850.41091657441,1875.8184287282318,1875.5419176179707,1852.3347984617626,1869.030120486461,1876.2634157776247,1878.1099893333176,1884.7082664373318,1873.6526061458349,1888.2724501499931,1913.6583995208955,1873.7240732176326,1852.4817451427605,1877.5411814715947,1875.9547487631373,1849.547484728776,1853.584431933694,1874.0286110851034,1878.4974785062639,1886.7898440763663,1880.4509071382843,1893.4559195210843,1869.9853427677608,1845.8460488006542,1875.8123985170873,1850.3877434584304,1853.8297619697641,1873.8626740052418,1874.18188475661,1889.3543003756586,1886.4172617838306,1896.3872229350845,1895.1774816154868,1851.1427188408554,1878.9714873935236,1874.9275889480414,1848.7710263278407,1872.1734806410905,1885.9396430892182,1869.5371278664054,1900.8321985151697,1889.060720359197,1884.7438479978625,1870.8558347690846,1849.5643594799644,1875.8478891214643,1875.4047406242114,1855.5725799798372,1867.2683322272414,1869.108634262465,1919.7281987562635,1894.5052811891196,,,1849.9284044768056,1872.4903095717668,1876.365879611541,1880.0286835002184,1866.3052706153537,1927.8386310708672,1875.6640363828603,1866.5331208703892,1865.9814532036692,1879.8094781146763,
AMARAVATI,1875.2908336814344,1852.1475604423256,1875.2010836380014,1871.7830657014526,1889.5589464692566,1891.0446391179034,1881.2466288261346,1914.6470090984635,1874.1450124579121,1850.8653132531547,1879.5613873324457,1876.109816962789,1856.4830060453994,1853.8996589366395,1875.0333463844604,1870.7787290892109,1900.0256777594202,1888.0988133352266,1892.4647748292978,1909.985912721046,1865.739182408152,1849.4761424911203,1875.6756564389216,1875.8687012290889,1850.5884638549758,1855.2504620330153,1868.0006960526916,1875.4265468138888,1891.1333133261533,1889.2251399234328,1890.1844146204637,1871.4345484777793,1852.7272674609208,1875.8017516552475,1875.8653250058376,1849.6048108765933,1862.1402839692544,1874.7586713598103,1891.1933405760906,1895.1725445450122,1888.3038408235907,1879.3966400948889,1928.0997932933653,1873.6931317172728,1849.817897373714,1875.5125029082449,1875.602964516048,1853.577297745912,1869.1838719304546,1874.772674636337,1879.2963452636618,1888.4430611693513,1890.643101675311,1902.9729158308187,1875.1280671862946,1851.1077517806057,1875.8528174834262,1877.1670914549265,1853.2219038063874,1870.7126181277945,1874.746387592666,1878.9975842197073,1892.6790096340383,1881.5907225518447,1885.1738240916143,1910.5909566851044,1875.1543173644511,1850.1587938850553,1877.1343638409353,1875.1423054606016,1864.3659794352925,1855.1312063702183,1875.1292564949729,1872.8270446966344,1889.9142334208775,1879.4414161419174,1900.3491291016082,1869.0450270716024,1847.8048984340069,1875.8918191789874,1855.2235637567615,1854.2675206825206,1874.7420773642355,1876.7053294358786,1895.5395295662595,1888.7985636960036,1898.424776277943,1903.3057396881575,1849.0289387122025,1878.3129456055692,1876.6401433028168,1850.1772838185186,1856.3082256733226,1885.0887367006128,1870.7362696695025,1903.6925147957736,1887.075593643603,1915.930899197915,1874.6426986995175,1849.2114421861781,1875.8919211429543,1876.539705767861,1852.8469235894065,1864.6935226379169,1872.2980667207864,1919.5265429081896,1891.9744796496332,1862.9731818147097,,1849.8959363964223,1873.3208983523089,1878.059960253512,1883.7811908186802,1879.2812062333012,1926.60372763018,1876.0809653224117,1868.533243626011,1869.4399391250972,1884.5278600636113,
AURANGABAD,1850.708228417823,1873.716410404141,1874.5317993249148,1864.855169558424,1891.221691882646,1894.9555187838844,1884.5688107154654,1878.38783046856,1874.2874683030543,1850.7182587281277,1875.566295839613,1875.0028432577676,1855.4562756357727,1856.8742298816533,1875.0983651934994,1879.3796608062494,1887.6711535974218,1885.1208785661643,1883.701076293747,1866.3038577890911,1873.5565813586134,1849.5384379826862,1875.5652822571014,1876.0067918370942,1852.0453125232837,1867.3905298708587,1874.3969093392457,1877.7047233985566,1893.5639535489743,1873.1040201929327,1920.1407824634546,1873.300120934078,1849.6131916141987,1875.6958414432072,1876.8411717359452,1849.6007529631556,1853.4277926278785,1876.473001013409,1894.6503103040127,1893.865128398455,1876.657916490654,1885.0057445105263,1905.7294290525222,1870.7834419739509,1852.4653766442739,1875.5877581094571,1874.4212722237976,1851.0464792966666,1860.8058811379653,1872.8273856087146,1892.3761337097833,1892.9660471289944,1877.2343715858603,1896.2201421018367,1872.3191329767697,1852.584166622714,1875.3412087329787,1875.6195267443054,1851.01732414178,1871.4548931199947,1889.8320054782141,1894.8313301553608,1885.917644917233,1880.8326917600455,1887.9144586069608,1883.9676108569547,,1862.4027281143344,1875.542690683659,1876.3639294106993,1851.2074853911668,1866.121039355002,1874.956566495916,1870.0911663304043,1888.685210990267,1875.390215835477,1881.2283456850637,1869.7426840436553,1849.0560131445527,1875.4482842761074,1854.9233990959817,1864.8863695928055,1874.0202563017197,1879.1352371949984,1916.1705225933713,1880.2557005890324,1883.4599819172029,1865.2761340970455,1848.647467513309,1875.494305590721,1876.3912075006913,1849.3213584113114,1867.4120345321044,1873.5753959124531,1875.7857043548963,1897.6706013145583,1880.164848502844,1895.9610401341267,1864.7712333230984,1852.1786335531308,1875.6851149906784,1878.8835629587488,1851.4002342233186,1854.1866127266017,1872.4402631505466,1897.8412522551464,1887.0713576824296,1902.1271153936104,1872.8749338996438,1853.0787334423017,1875.7221136729045,1879.0579486036688,,,,1875.704761233635,,1872.066604943069,,
BHANDARA,1850.838378406996,1848.6578156482938,1874.0756200934668,1870.439968035409,1912.2876872131126,1877.495313464137,1883.4898585852065,1893.858561121966,1873.976873326104,1853.099418455627,1874.8397623182366,1876.5528749029186,1851.6789629468599,1868.7749607028195,1873.2975847721032,1874.5534907222086,1901.6779279958694,1890.0443392218988,1879.9869973489,1867.2083881868189,1875.013344803922,1849.533942295376,1875.0110516498369,1876.4601831438906,1850.1451307598713,1853.7421197559286,1874.1215499523091,1880.9899304934052,1901.7687313276065,1877.2361899361656,1866.7417095408966,1870.5173533457614,1847.2585308524028,1875.6738523361773,1875.6509450267602,1876.0670570091354,1852.137385007668,1873.0558661822645,1879.763079602927,1914.5891007918751,1889.6324484206702,1888.1886206477084,1866.6367887428012,1872.3006620154326,1846.002286053588,1874.320036442558,1876.7449006555219,1866.060490466683,1849.6070418120246,1874.0008084739775,1873.2019827066133,1914.4013775960307,1884.5062158468966,,1873.0554690276974,1848.5644480184083,1875.0210636024487,1876.5286434573632,1850.206948007797,1849.6999503388793,1873.553393153693,1872.33270766674,1899.1073609861983,1886.030414039674,1877.8317404978116,1921.0211524406698,1872.7282661035981,1848.0173888072852,1873.8573392937806,1877.4390969294632,1847.5818220034816,1851.737229535257,1874.4634224230394,1873.7358479150687,1902.92235880026,1882.704894352327,1886.0716437745173,1871.5534149126147,1846.7788931515288,1875.8967534698827,1848.7996681557465,1871.2811550341912,1868.6410438185314,1874.1060674311448,1902.7236679609184,1888.5102215062116,1882.0739219931656,1897.5822217340742,1856.1969283218987,1875.8830674023131,1875.5878436867574,1847.4928083224013,1854.8119149451602,1872.855641045564,1876.1055835252978,1911.9371386210034,1874.935161290201,1921.1455474661254,1873.0178540619434,1846.9240611882963,1875.0403242284676,1876.4441499079778,1876.4040889825535,1851.9900400132524,1874.222550881976,1911.7789328373547,1895.1000655637413,1920.073853936827,1872.8415734231423,1847.8569568988896,1873.552527494972,1875.4800817912771,,1911.3139275472492,,1874.0301889070568,1871.284023917022,1872.6962234619086,,
BID,1851.0614134622695,1871.4677392502758,1875.2198157453715,1869.431700468969,1890.0618859908418,1879.979771778045,1882.8069923973949,1902.8984115666515,1876.0870135609873,1850.1155248055925,1875.8593997920125,1875.8212200046364,1850.8752512401688,1871.436540150704,1875.365524866476,1880.3555019184168,1890.0274531641408,1882.9455341887458,1888.5683028224512,1888.2771805693396,1873.054191020069,1850.5274329559927,1874.5569825160899,1875.852985525745,1851.771963077864,1876.1103015015653,1876.7017527753721,1872.7334507556945,1891.3482914454978,1880.055606771207,1899.1263638242356,1875.9884608628738,1850.8117288382307,1875.8563302784132,1877.561575407453,1850.1748760066766,1855.8115759454067,1875.3542394587043,1891.7699746142516,1895.5614440899556,1879.2282132786727,1876.7581242943493,1917.327552765572,1870.6470894047409,1855.2520953236206,1875.8595202741735,1875.708349349593,1850.8373518014457,1861.4365480769018,1875.4854529225847,1895.447905358303,1891.1774432912603,1875.284401692662,1889.3802270820574,1874.4765894871587,1853.2238820397704,1874.764452079867,1876.0070914034409,1850.6589299717614,1872.9068450726497,1888.8884752644205,1889.2977827843024,1886.1512962365462,1875.9638697389933,1890.3088634182561,1895.1764846306971,1874.3469630411016,1855.5764972699453,1875.9676977525328,1879.3626454876694,1849.788930023533,1875.0580935992493,1875.1454348231844,1869.2316715217714,1888.2368425269358,1878.3522687071268,1887.582832261543,1866.1029309102967,1848.0811285999428,1875.748280439598,1848.9149393528678,1875.3104134453101,1875.5146914862935,1876.8197982471156,1912.5588835151816,1880.0258916518655,1878.3684257688437,1894.873465292928,1851.440250002405,1876.4245403109715,1876.203189550071,1849.1414852184225,1876.3645389735627,1874.8074300171209,1874.1654759653447,1892.9773809726792,1880.9333889357274,1875.6545987605994,1871.0294359514228,1853.020095865387,1875.8972329769495,1875.7484376449354,1850.8170188570928,1856.675721688663,1875.0282096231012,1902.004930078138,1868.6511215862934,1903.690269392379,1874.9641581227572,1854.5057755232665,1876.3870733586655,1879.2341462689703,1897.7253526480952,,,1876.147501518495,1872.9906228316754,1869.6573650513446,,
BULDHANA,1848.4312129067494,1852.8298548016608,1875.248025878517,1872.2824407362475,1890.2437070979354,1895.5265596478162,1886.5787064893657,1906.011913893532,1874.7588830818825,1848.5679751816224,1875.5114146816904,1875.6399394167563,1849.7231192100203,1860.2032236226312,1875.046920975208,1875.2605739947444,1888.8540299503006,1889.676738738391,1884.691601574933,1872.8346195731228,1874.3479809264502,1849.7487953637167,1875.61733966205,1875.57633455192,1849.8572348937412,1871.896483414081,1875.072573658409,1877.5003405676423,1895.077354260294,1885.0107034347923,1866.9885261522682,1873.1939465061982,1848.8661618542353,1875.5124986693854,1875.9285268745914,1848.9578877666765,1852.7673222567753,1875.0375006893157,1896.0972966558886,1892.118831008654,1881.6106952397593,1881.7095045258857,1921.940790898587,1874.8428989997194,1848.813260216603,1875.4246799854152,1871.3715629491987,1860.791615431435,1852.0474126735637,1876.3246413829988,1892.9300020444823,1887.4028026565657,1876.5444781179756,1898.2415852920929,1874.2891665448385,1849.8117685552713,1875.2412714412199,1875.5104606024724,1849.9467119534365,1852.0208018678766,1894.3460890020822,1893.020139207359,1886.2607722708842,1884.197440033964,1888.3575584284613,1900.0859599660853,1871.6116471407513,1863.3235215177488,1875.6179554655273,1876.054828872701,1850.1068095833418,1858.7056281455532,1874.7785256956852,1872.0671102684373,1891.0280304052176,1881.2269657280144,1887.9230572697898,1864.7666749174682,1848.8045395824417,1875.5128845180748,1850.1055382645973,1864.0000577578246,1875.149451743227,1884.1375228750373,1911.114151454398,1886.4357872226851,1898.4469404332158,1891.926625178553,1848.5679496157172,1875.491313493062,1875.4609881817848,1847.759439212498,1873.3951744298884,1873.7068645895527,1887.9947988615083,1897.5814605992855,1890.4867307024385,1870.5682478717858,1872.6802201278695,1852.3157186210249,1875.4940973488326,1879.1188763289217,1873.6498774446432,1852.7275796953083,1870.6701489436243,1909.6850913607193,1890.0468994579558,,,1850.3905563424732,1874.7394254734345,1878.6019073770228,1883.1490184196427,1866.3051716939092,1926.900810843409,1875.4920390325021,1870.3091000788188,1875.5206099535178,1878.6175462602582,
CHANDRAPUR,1849.8305765095686,1862.5660369284785,1873.9205054830998,1872.679374102579,1908.0580178672315,1878.7217761170189,1880.274976660894,1899.993444725747,1874.7032601896892,1859.3167448753468,1875.41140540632,1873.6418083140427,1851.2578985733417,1870.7848376609707,1874.3574486484906,1872.4180565920587,1897.9163812021975,1883.8242281771065,1883.5112620933562,1869.5497977963469,1875.785316034659,1849.5579242205783,1875.5501543515286,1877.5248245692662,1850.815211302122,1854.8548446950495,1874.0249277276173,1879.3834057316374,1900.8434237571284,1877.5068011701167,1871.5846986315503,1873.8514937228995,1851.2405666769787,1876.370864592526,1874.7088372428889,1858.7338889716518,1853.31689720581,1872.375913767013,1879.2324357422804,1908.6092006525353,1887.4953154879358,1882.7579877348883,1866.5712394993277,1872.2467639223041,1849.8195863441244,1875.3783523907957,1876.017734663698,1851.3296559925084,1853.4105971541046,1874.9744171843267,1873.435647212229,1907.5117674696419,1879.7389604135824,1898.797186554175,1872.117965293927,1849.9521239487144,1875.4123184857758,1875.3165832425832,1850.357473495381,1860.924179852169,1873.748161893483,1871.3143665130417,1897.4266267702021,1882.6640512644321,1878.3916353831987,1922.8203715418176,1869.686965547173,1849.1453965393105,1874.827826312085,1876.7721095590473,1848.056251777151,1869.014409287126,1874.624352323187,1879.9829218147493,1909.0906285139733,1880.0561578795002,1885.4869591870129,1868.1666876807403,1848.1768083684358,1876.024227693307,1847.9562717503468,1873.620567807613,1872.931585242312,1874.9434870794103,1914.0013470901501,1881.4953376080432,1879.7397575938803,1902.6054374957484,1849.5311015603286,1875.8362126270804,1873.4461274540417,1849.320598570341,1854.5558693444882,1874.3147889565003,1870.54204057292,1910.9208752942468,1876.5437842994868,1889.029187549254,1877.1745118887166,1850.1459999860717,1875.5010429187198,1877.1965862887862,1857.5210194482493,1854.0928689849231,1875.686592811106,1908.4766892699156,1887.8672247207248,1918.1791653841583,1873.204873450896,1849.6296024125902,1874.3984950362546,1876.4943640339675,1868.9321311773235,1895.0404994414737,1921.7798180404534,1874.029407472252,1872.2982753490542,1867.955458999303,1902.826603280923,1869.510560336537
DHULE,1850.150526482811,1874.608197788693,1875.6769249958134,1875.9404174909969,1898.3829958878248,1893.5662165411204,1889.6346372414523,1871.2215086560104,1876.5422019715845,1853.3025437954566,1874.3676870178606,1877.543303474138,1865.6260357953158,1855.3903576959542,1875.8323177918182,1872.514164374435,1900.112856005339,1876.7833795559143,1892.0582016546714,1903.6628672224817,1874.0928306005414,1850.6523425395583,1876.518148614942,1876.5006367193482,1854.2730874365616,1856.481311652365,1877.1056783183838,1871.819919491833,1906.838736940762,1889.8802952195347,1913.8112408978848,1872.7049944373898,1849.485379964947,1876.4892119600995,1876.495969920597,1850.1305497569324,1858.16504770776,1891.021550933751,1891.453110581878,1899.7831736683424,1890.1484291834715,1875.8880050298883,1876.4828061686303,1875.5573039227818,1850.0168951750286,1876.458139311759,1876.4226122643001,1849.8822709303413,1865.9486000695272,1874.9175333179603,1867.5899901017738,1892.0156524471809,1880.4020022744617,1967.56413414887,1874.6493243731563,1850.0099479902728,1876.1569508879409,1876.4729470102654,1850.2078998713148,1874.7832746794388,1875.7538850635672,1893.294120666633,1892.6225056650946,1893.5013441107671,1889.6823898054274,1872.1453773820149,1872.0954970215607,1850.2958053889665,1876.6930475366753,1879.6569220551953,1850.527466281393,1851.9107603060575,1872.2600802537725,1876.1172090352625,1892.3475668350222,1888.3670220148467,1893.316467458791,1875.9646874790897,1854.218041437728,1875.3711298808057,1866.6844714198944,1855.6679985710234,1875.689942095435,1876.8347478105557,1905.8744315902989,1880.0858024637357,1886.6451515530105,1908.2431648438371,1850.3252691886694,1875.7505600918557,1876.2519831110947,1853.076075611742,1856.2707144907088,1870.1445071426338,1893.115961036171,1898.6731778585688,1894.2036487178732,1908.1911326386814,1874.9080373473832,1849.3384946348983,1876.438106377446,1876.392229647336,1849.907852362388,1857.7989139067593,1876.2569941617846,1891.8312452202313,1896.5944210216226,,1875.4167423081456,1856.724713267824,1876.4121177005115,1876.458504706234,1879.4123018559917,,1869.2649484027581,1876.6018739698663,1869.7489657030726,,1883.6907527699232,1883.2271533879818
GADCHIROLI,1850.4668452072178,1857.696164183693,1863.465375264902,1881.5578049865242,1894.9137073930024,1876.050892784069,1883.05685534868,1916.2976945075632,1876.6577635386018,1851.6370165920187,1875.8223433680323,1878.4640907323997,1850.3466647459832,1857.6880162835625,,1872.820501208118,1889.9059245091905,1881.3677992311093,1875.0009885232346,1906.0743291243075,1873.9315967333898,1851.0177456283825,1875.8080703495818,1877.5119466487126,1851.0990305192179,1876.1697172028034,1876.0675146114509,1872.8522100757991,1890.762966241638,1879.5715286562815,1889.3261635559013,1873.8764189114881,1849.779142551695,1875.7242120514945,1879.9172495607638,1850.6347898169313,1875.566862760785,1859.2628474535138,1875.3936702231022,1908.4565715668798,1886.477002339366,1878.9513365571095,1873.4553562073022,1876.4014034472257,1850.425437827065,1877.7553838101287,1877.481756736396,1850.374435435024,1878.3326837022726,1875.7309389486995,1875.1304083474774,1914.9985464310653,1876.1815069918096,1875.4415294961586,1876.9459820774864,1858.084494055929,1876.0217919268641,1876.3602090933034,1851.0413551107558,1857.1234461480344,1875.3997296957948,1870.4288089256083,1898.0518926063298,1880.100810939152,1877.4007799026986,1920.7502099942633,1876.6573545648714,1854.2366811097568,1876.2763601904996,1880.3510784465714,1850.4789995833098,1862.657326008474,1876.2940109674082,1866.5714256707852,1896.312315318376,1878.8064202342632,1884.1537335821072,1868.6204444998482,1854.1870125870257,1877.6747381650512,1850.813189711148,1874.1028588163947,1874.68045550917,1869.4855913003335,1891.0964086598426,1878.0583268311302,1880.4075068739107,1891.7673651917482,1851.0388807685845,1874.8037854632296,1878.6835289832402,1849.9707804917812,1874.8038588708646,1875.5941918837118,1869.3934936809694,1912.8501344920294,1883.474887273093,1918.8779154527438,1869.1995728782233,1849.426233364891,1875.9997552836323,1882.6048262231568,1850.7900544931836,1876.5081253955375,1862.2444823364433,1917.3898976546084,1888.0725873505846,1879.8573418223043,1877.4630586162586,1850.488967398638,1874.5502176822017,1880.1987709172718,1873.581738572438,1899.532601432137,,1880.719537294786,1869.356705176374,1875.1596052666766,1879.1072058426357,1878.483376118135
GONDIA,1852.4973392341872,1854.3669025020458,1873.2976963237638,1874.172373408253,1911.4221506756405,1880.922168154614,1889.7773956998064,1897.8716180216961,1873.5294907445116,1851.8598598642852,1875.3930795749247,1877.3209385765967,1850.919336838356,1855.9933368732954,1873.0201241397308,1870.9173648286762,1901.759333440377,1892.4867096004261,1876.888720009243,1870.6400538656997,1876.3542042750057,1853.3835299850284,1875.5566782774588,1875.6371755597106,1851.8699583750063,1867.0953910444302,1873.4114391555327,1881.8677454366475,1893.5281466028373,1889.181531583579,1865.2921403176138,1871.0368379103993,1848.9114325962175,1875.4038758475717,1877.3736659823942,1855.2174462296439,1867.0076755918528,1872.898773323934,1874.459239617568,1903.4843295913554,1892.2776353561583,1890.2072647704713,1866.6031369698112,1872.6603543789038,1848.9460832938587,1875.77321298275,1876.4654002787042,1855.3530283328014,1867.452296348256,1872.560436302814,1872.0544811040795,1917.967385095844,1885.6120723957902,,1874.5542783074964,1854.4433964276707,1875.585818918332,1877.5868581800278,1853.243148931547,1854.170229188516,1872.997362469588,1872.7593513807426,1896.442010575543,1893.969591560607,1888.8746726365132,1919.3996612719372,1871.9731081983375,1851.0230656568758,1874.6467273692992,1879.9036206346427,1848.6717530496685,1853.9216150217153,1872.6771251195426,1873.026524006253,1906.746259030567,1875.0514018667288,1885.4873732391368,1871.6174324770648,1850.7875456660975,1876.219157942008,1851.2322585347654,1857.2577088277255,1869.9646009023056,1873.084024251522,1901.7979169272094,1882.339094852835,1884.3729323914024,1910.4368740746922,1854.2286270195157,1874.6993357252486,1877.0283168890915,1848.8601625276062,1869.7008901479226,1873.2337667822276,1864.7055987657584,1917.7922701578111,1875.951665633578,1926.0208587453471,1876.9700025554505,1849.074126450812,1875.2793496636568,1881.1321003024752,1855.3451822131763,1870.586210292386,1873.607721704286,1907.3122594298095,1898.3829165082054,1918.477722413146,1872.517114830889,1849.8255236672023,1874.1218148129115,1880.2129471039068,,1915.45317349467,,1877.0985980334385,1872.1482034332323,1872.849740116552,,
