district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_09,2023_10,2023_11,2023_12,2017_06,2016_07
DIMAPUR,1881.8633755949,1855.4539647533004,1874.9318163226335,1874.138359506881,1910.3022743757215,1919.0866301963238,1925.820495702267,1928.052575090412,1872.8824114763645,1882.7841147708389,1881.0954629126027,1880.9552083258864,1867.4032804873489,1857.721504070285,1872.1758614591354,1872.673656898383,1918.142966892111,1908.86959822558,1916.1213815035137,1876.5857155842552,1864.5125171556756,1874.3264860063518,1883.4558153976525,1878.6741250285768,1881.0359751060873,1847.628590631301,1877.8368903879941,1863.948742127482,1918.6585673452853,1906.5192272651389,1872.5028266877441,1856.5079547072137,1850.397841174327,1882.7696364444337,1881.491963249401,1881.1511586150239,1852.729905748025,1873.428722594677,1875.1884534443136,1922.8842288239468,1917.1517269667381,1874.566211665358,1872.5927652995251,1850.5366583840912,1882.5385020288445,1881.0487250058077,1881.1281994007716,1854.3402251401199,1873.9519556156908,1873.959911126401,1923.4738599250181,1912.2286171947376,1929.372279922582,1865.2242448492682,1872.5337373932339,1875.1332784396611,1880.3570279225867,1881.094304548006,1881.1988433078234,1854.0966602734402,1876.567535521366,1862.6239797910382,1912.540880252249,1924.8215075683734,1915.6073704625292,1865.5846466507794,1874.7002993558594,1852.2473907598044,1876.2770299123242,1875.7951249557311,1880.200659008634,1853.440070856199,1870.4810378283753,1864.2356264636687,1917.4049326354077,1905.4556017373463,1870.0090164506787,1871.0987661284828,1883.1763632759464,1882.6449351303754,1880.9472861965746,1862.209374377084,1857.7543483748632,1876.4588679246365,1875.9899400535357,1919.504784466937,1902.273412548924,1902.8354030407058,1876.442520785934,1872.9907677866775,1882.2931943853139,1882.9395805806755,1882.3659692027,1881.0677766001718,1846.6254000271126,1877.8262836106574,1863.2667660311731,1918.491877060368,1914.1646404377275,1873.8592812693296,1857.5816848925015,1850.212036857569,1879.74922939591,1882.895569390975,1880.901821264612,1853.97521982543,1875.217414254319,1873.7751434473148,1925.1103278659,1904.3977383671534,1926.8085551884672,1873.4692013241008,1849.8592935765696,1883.2538181337384,1879.8125426336658,,
KIPHIRE,1867.8088134034615,1853.7954021420753,1870.974935094816,1871.7560686307224,1909.2960719141665,1915.9069845733538,,1920.7460276704708,1872.5904193096944,1871.3262659189327,1869.3502070830539,1868.2686228176697,1867.238980718804,1852.5823260061356,1868.8492055065533,1869.6408006409793,1917.499584102357,1914.8870561209237,1910.402394769499,1866.574735217082,1849.2580541929417,1871.0533019522975,1869.958326211894,1867.4226118146123,1867.0576391452557,1847.3911269338869,1869.465627557499,1871.1178250372104,1911.1835915713455,1918.5435872175747,1873.271079437511,1851.7740692603356,1864.0121265613764,1869.9930068123363,1867.8483133574773,1867.7528594075993,1845.1235413844286,1875.4090985694893,1869.9028359588913,1925.7891092972934,1911.5648657317545,,1869.7385509666397,1871.339469733406,1869.9051145903431,1867.014489903939,1867.6089973552907,1849.1278179175142,1870.1739625585906,1873.5010963356829,1928.8123208238742,1906.1133229311665,1927.702732067087,1870.7222111735093,1869.186010300737,1872.121926929337,1868.1875228201438,1867.8272674741347,1868.0131868792075,1853.7100519695916,1872.467337966596,1873.5721033703737,1905.7727600540393,1912.586096071874,1927.6370280957963,1867.770497486021,1867.0217292171199,1848.5325844273993,1869.7991589250769,1866.9783214803572,1867.9307676257363,1853.5474537622645,1871.781166930878,1869.5462457017318,1909.208048149638,,1866.843982048944,1868.848704771712,1870.3058884676975,1870.199607175086,1867.2674315841407,1868.1584200600118,1851.9552975467873,1870.240230305307,1877.657236302389,1922.3609699068604,1904.5894833814855,,1866.2150487195365,1848.025176298026,1872.1711885719083,1869.831253109983,1867.8722252870612,1867.6372737562665,1849.5520680966722,1873.2276349151457,1871.3078174112554,1913.4761389056403,1921.12836928215,1877.1474070780293,1854.7621607766798,1866.9081360567418,1870.5240208267694,1869.1640684215304,1867.1501680794368,1849.8534865084378,1873.7759872703114,1873.3016719243249,1925.2108829950619,1915.8044072687394,,1871.0679635805834,1871.670653546677,1870.3684287826052,1866.8034348081737,1914.7638997236281,
KOHIMA,1878.3602493087772,1855.5514312621503,1879.7411397407745,1879.68904343859,1907.133285523241,1921.017644399069,,1915.324623266497,1880.28049786894,1873.6283902369926,1877.2634154560783,1877.3370860034715,1875.4753581082264,1855.5924334898239,1860.8157527167825,1871.9801026377438,1917.3636440706805,1910.7705304937178,1917.8687460619433,1878.6387597255125,1849.7624658320622,1873.3491385008263,1878.6077410486453,1876.1480832253233,1878.0276509524285,1850.1801241593853,1879.477790608505,1835.5182944498122,1918.6132605942048,1912.4764191001013,1880.179466609314,1856.7385270954676,1850.585560107515,1878.6363707111163,1877.9087438284641,1878.104954278094,1848.748476195043,1876.7833825623586,1878.4948277654482,1925.383543259141,1916.5766916362588,,1879.8874934219675,1852.9530440593755,1878.6324510023596,1877.6345971256462,1877.9284930520703,1853.5427874790257,1871.5898419063526,1880.0589503338222,1918.7994569114237,,1927.4460902822063,1863.8352538023157,1878.9720557819899,1880.731472656434,1877.4323274166402,1878.3020776238027,1878.774659402917,1855.1627735049008,1874.7404229502158,1854.967072791545,1907.3921118538103,1933.9539591859384,1926.1652241041525,1865.642052278748,1875.4800636566417,,1874.8626100782403,1872.421660437728,1876.1733960541674,1851.9637072695778,1862.6199042436783,1836.2582037465472,1912.7939217898884,,1865.967773531045,1878.1034078580938,1878.3146053955932,1880.0146108764668,1876.6983783979815,1878.4536994442003,1856.0361610231057,1864.8964116130567,1858.3193344823053,1917.793162227927,1907.5084254961332,,1879.019685236789,1862.6482230492127,1880.8083059658209,1878.5551724517286,1878.2762728607725,1876.860659588661,1850.3885805189677,1879.7479351334841,1850.1610169253295,1916.8747660574306,1912.8821092321562,1879.5884325731156,1857.4259468980295,1850.3167280086705,1880.5985902995574,1877.6151302233677,1877.1586842145368,1850.6730072020387,1879.7414514358975,1878.191612083479,1921.4239032037974,,,1880.2111491207547,1858.7825803117819,1878.3451459160217,1877.7534167658007,,
LONGLENG,1877.4332787658366,1850.4414143567642,1876.1658670189329,1873.9456448643089,1906.701281148053,1912.8238894999495,,1919.4674852376368,1864.947462811255,1879.2673338442785,1877.6261554090745,1877.6991373990124,1876.5663069947148,1851.974651718683,1869.216494804767,1869.2799245839667,1907.478798860188,1909.6871108381245,1907.8870993327726,1875.3109973556795,1855.0875010257087,1878.7701689575233,1877.7873836724546,1875.2461758671805,1877.205318921542,1849.2216039602515,1871.9410969465332,1869.3051597414633,1915.1844892763063,1929.8585481803843,1876.1880679397318,1854.4907987848956,1875.48046442911,1877.2866042114058,1875.736742308877,1877.0828672165076,1849.2817495693691,1872.0111482180262,1872.9654658098661,1917.4067801006504,1925.1177990920776,,1873.2442665882215,1877.2370728723902,1878.8673029041167,1876.5461428445813,1876.969080019446,1844.837139857127,1871.0469943330277,1876.2910946675581,1930.3586709629897,1908.6867653244944,1930.8440886706117,1865.23974749752,1873.6316500293026,1880.6775190236085,1876.686484346591,1877.4128093445647,1877.3553656252388,1859.2315788645597,1874.6356742037162,1873.9845369147,1904.6730071231332,1910.57660807024,1929.0619613345518,1864.6242655215385,1869.6604312642105,1849.8837781537102,1872.2349271599705,1870.6380073311802,1876.424342132865,1851.2018781992617,1873.2627594610874,1874.7443172752062,1908.47334162211,,1866.0098303732836,1855.7588371474546,1878.5076380984708,1879.360305294944,1876.2338139261196,1877.736442670605,1850.861311568699,1869.666587718397,1877.4030468156982,1908.3928499714568,1908.8108718325966,1914.6340266341092,1876.0941861686085,1856.1444737021366,1881.5883502439897,1877.7514556815033,1877.7247278180614,1876.4171456195588,1849.7728810168671,1872.994606400468,1868.0444103313546,1913.820490069621,1914.2140303667527,1873.188193188151,1854.4383479141727,1875.512081668396,1879.8009506450398,1877.6289759553408,1876.2629843384289,1849.3230934684582,1875.2137747201123,1875.0584646787813,1913.4727571278186,1905.9787296943423,,1872.9553899325233,1878.6957132896234,1876.9914977621781,1876.2518991858917,1917.4382823366307,
MOKOKCHUNG,1878.5777373991602,1851.7495773945702,1871.9621534201704,1861.2447092522375,1906.9568071623564,1911.8268041459341,,1915.388314482552,1876.9943985813786,1877.346766300674,1877.6775643781498,1878.4894815682123,1876.3063388691908,1851.1072669188788,1874.8844028943497,1867.2704200550152,1907.3082454447667,1921.7526199594463,1911.2042384541903,1880.2303887245232,1856.8612143877751,1877.4183744737136,1878.4782997672135,1875.3792615885593,1878.0578521928917,1850.517843864083,1875.2401089229224,1854.989180700731,1918.7606294327604,1931.7425551225956,1877.434222920744,1855.716418211787,1855.5113453550778,1877.9554061098243,1877.3002681328362,1878.1555272784187,1850.4630823212083,1872.3757717647907,1877.3001753785593,1916.966461454351,1922.7949708637661,,1877.4984048970896,1875.2945998418597,1879.4122029077587,1876.7362020921742,1877.4763221345356,1847.8092467207496,1856.3415962049535,1877.7141665587403,1914.520461475764,,1932.762650189122,1866.2142167675488,1877.5663084678436,1881.588467239245,1878.1322909888104,1878.3477631816518,1877.802433928441,1855.0009246375798,1877.4531601979356,1868.6120717843805,1900.0148894796712,1925.9770487428175,1927.4419512307816,1864.9293247578873,1873.4729674497698,1850.104159529611,1875.8308346946005,1870.9254977995681,1876.6291611601528,1852.0213597834158,1862.2996372051023,1858.3186749495312,1908.1615033618607,,1866.257808104427,1864.1723315858412,1879.6310165880554,1880.184391341864,1877.0047542582108,1878.2604934162105,1850.6627813434895,1875.229414309518,1868.368062014838,1908.5073507558275,1912.8299987173136,1915.985322166356,1880.1190211571545,1857.3128200586127,1881.8664163159171,1878.4764250798623,1878.475076611233,1876.9260414692505,1850.1237131254252,1875.184857200152,1858.4120345420872,1917.1334181137988,1906.4511552612344,1876.4785401264985,1854.3268436427438,1865.8140511628208,1881.4524757887916,1878.5090380522417,1876.9438431924655,1850.083657001834,1879.1398291746727,1877.104647159169,1909.995293351163,,,1876.8582677310985,1878.3113984313375,1878.0941353397404,1878.245586166155,1914.6092121271506,
MON,1870.043469215547,1852.3458968883428,1875.512541468521,1873.108166831908,1915.0069003608367,1913.7600312518387,,1923.015742425524,1858.647011238774,1874.4101099272839,1870.9900841171318,1870.5551336492679,1870.049326325004,1854.1510252745556,1868.6789862525438,1869.6170906488871,1909.2395790706105,1913.2115532619493,1915.0237600513879,1881.3656166373983,1848.132073304224,1875.5295836622843,1871.1945741136474,1868.790150630942,1869.7944108231932,1845.6615966586062,1868.7233917200126,1871.6003000699047,1911.0741171911307,1922.4100823264325,1878.740562260304,1854.523813625168,1874.3004069702063,1871.6248848798755,1870.1308563439204,1870.2011316295786,1846.1807757976167,1867.5931489543907,1869.4405199645958,1913.6751439468694,1923.82015198082,,1865.7394355361653,1875.901118757981,1872.7138303987647,1869.8067246854982,1869.8873308140746,1844.922807991084,1867.3658318884577,1875.9465648884755,1926.8476409251762,1918.5408233828398,1928.7521381066626,1867.693054548399,1857.2771924753135,1873.334579347077,1871.3528576258677,1870.8246290864693,1870.8295266233324,1849.4822678814633,1873.4177268064961,1869.2720205251662,1915.9384156673193,1913.4515764551522,1922.846265366194,1869.2584575290846,1870.5214839617188,1845.285092001085,1872.7479804305335,1869.7644018048422,1869.7615709296022,1851.6355573293954,1869.801749554608,1870.1879313958189,1910.499724254492,,1865.9336071289588,1858.0950443231925,1871.2928949519505,1873.3665755526865,1869.584639402249,1870.5417655776037,1852.587781667301,1870.8766996985396,1877.3452159341628,1914.7338100132931,1913.9957098256234,1913.9134085465341,1884.5179465734445,1850.2554983595448,1877.6409755611542,1873.4156504903592,1870.6549009338166,1870.3934474456157,1845.0214579384192,1872.9700069744013,1869.254260696241,1911.9495968494566,1920.92242378127,1876.026357437926,1854.2390993973017,1873.6646045374248,1872.6179000316922,1871.5590473489817,1868.9368250168354,1846.8236855043317,1867.2613168126904,1872.8459440156505,1915.5324719374291,1919.0380278413431,,1871.5468987661832,1873.0657242916723,1871.9971984287147,1868.7430539263391,1929.0559649586403,
PAREN,1878.8267385573913,1853.3332195926173,1873.6812090410488,1872.1509111555988,1918.95624580212,1927.188888435277,1919.735650110263,1917.400073338742,1871.7446755561764,1878.8229313111833,1877.5874046626614,1875.6444720543168,1856.8816914706376,1855.1706233668713,1870.5017876281213,1870.0582324633458,1918.8026530299273,1909.697331711863,1921.5815115220303,1876.483147157426,1866.198918410939,1874.7317264986436,1879.0109757805408,1876.5467489493417,1877.6717805737176,1849.8241358023663,1874.2301187839835,1870.4074363665936,1920.4606198154786,1906.256395363489,1871.1824491105117,1855.3442785065815,1854.600371857251,1879.4728739356847,1878.1282357252342,1878.6276018789606,1851.7606826321871,1873.0831519217963,1872.9167997145996,1920.6369499926495,1919.8720540534955,1872.2790924842889,1870.7773041177854,1853.5581182000162,1878.9306687044273,1878.3780444101862,1877.962951259712,1854.1848815156557,1872.7595367621689,1871.0943952462758,1925.853348745746,1912.0472728989446,1926.6222033079362,1865.082640244473,1866.196646564445,1859.3119327300765,1878.022033285592,1877.7000875700767,1877.7650407249405,1851.5877797168118,1872.1060130404653,1871.181172957763,1909.649473280239,1922.158625060932,1923.376751621621,1865.857886789953,1873.367744141432,1867.5547868222336,1874.4481666013114,1872.0072325788453,1876.3971449461387,1854.6036932475104,1873.7037760611665,1873.0326813524182,1919.164990495191,1914.1874721979798,1870.7276884190806,1874.9036491814618,1879.580711383205,1880.143186990926,1877.1630828853113,1855.073094660329,1856.4076321430634,1875.2434636715818,1874.1055404541762,1921.1530076099543,1903.6824427720776,1904.5093587694064,1877.0261754551466,1873.2578937817439,1879.5853184171574,1878.466881175737,1878.0514448962047,1877.1084061189447,1851.0091813984104,1872.8808705339336,1868.0947665935066,1923.3015807658949,1919.5198775115728,1872.8597421447519,1855.3606784914364,1849.5132248475843,1881.9321430093366,1877.3556729935365,1877.4538870658835,1853.2999900891014,1873.6713148416575,1872.815312911661,1925.6874465673627,1910.4716297977723,1925.3399984230175,1870.5011771860657,1854.440732096111,1878.9071634891457,1876.1940734189166,1896.0577501731277,1908.7636134904346
PHEK,1873.8479142530466,1855.0189550018238,1875.4144341425795,1873.4886274600187,1907.1274326511766,1915.4526033112397,,1914.2841941709864,1874.051106098736,1873.2129275329785,1874.369323676388,1872.6474564164773,1872.9262556486115,1851.0025916207458,1866.9065395530727,1870.474353746591,1911.7742384062487,1910.8697434371604,1916.9174517857216,1866.6250129567288,1854.6605420322812,1874.024431194191,1875.366099517938,1873.4805342943541,1873.4005159885091,1849.5001748396062,1877.0789788463005,1866.475262886082,1914.0370346458378,1914.7117816969608,1876.2954326168888,1853.0007778034583,1856.9231957012905,1874.3550952767937,1872.8226513307586,1873.6517206528206,1846.0725398062834,1875.7827660263554,1870.4582538496743,1922.1737936703105,1911.5726708496613,1871.9984246261952,1873.7389216788044,1869.0566344388142,1875.1554699784767,1872.862187901675,1873.6497509186643,1851.5798624295123,1866.3794017031446,1874.3441267569174,1921.471488922323,1903.7417880759142,1924.6705297943017,1866.8361923410746,1873.1219739088942,1876.6861835068412,1873.5330152554684,1873.7216764790242,1874.2699304592873,1855.0490701401272,1875.2261022148057,1875.6598833834228,1909.0725956734975,1918.9717418982466,1926.4277638139645,1865.8817219289772,1865.3903068772913,1846.3170145220734,1873.7076248949354,1871.0152503791765,1873.4810420467934,1851.9192792110061,1870.7951366455193,1868.1638027276806,1911.3053381106604,,1866.559715021152,1872.5546482888378,1875.3859399109901,1875.5134172868497,1873.1292202176394,1874.3934165660626,1851.1949327559485,1869.922919444694,1871.4749614890309,1919.8800830781793,1907.3514285379897,,1866.6453479071456,1853.3115520116546,1876.1420585172582,1875.2712560553925,1873.92541563516,1873.3414680623025,1850.5553792955511,1877.0078217990038,1869.7453835287947,1916.9387275814474,1920.752283191448,1878.6157423156087,1855.0123597975564,1851.5060918054362,1875.7136134338953,1874.0175979791495,1873.2933755510298,1846.3720228944821,1877.9181805801736,1874.6956334715474,1918.2401463503777,1908.3145224177808,1927.1824894443566,1874.34197140908,1873.9509817675391,1874.6936443879995,1872.9324283737958,1911.6784172925202,
TUENSANG,1870.0032330276674,1852.8680558512872,1870.3266363426783,1872.569921739764,1909.3024280462319,1916.0932439719525,,1924.0597150590008,1866.9826239558372,1871.8460112523303,1870.6938257182826,1869.6327988161142,1869.4651414022935,1853.9931435705946,1869.8389919066988,1869.2763000511936,1909.327422625451,1916.8864732898544,1906.2458291202138,1866.9353370726708,1849.431198793675,1871.4912056318421,1871.331236387315,1868.422140843015,1869.0172637109386,1845.4816051731957,1867.7086234556891,1869.7495374559746,1913.5951960250104,1924.386883259151,1877.379126419484,1854.5164213407957,1866.432587109401,1871.2879185471404,1869.7786529209827,1869.6001429377086,1846.286439227199,1874.1288983398274,1870.4434798618572,1919.754614921388,1922.528073272114,,1869.1847981247927,1872.6824077687716,1871.1788201662011,1868.8006634802944,1869.4044845729095,1842.776744671921,1868.671431295705,1873.1775511589503,1928.7856335608067,1914.198344638295,1928.3201796948306,1868.7951687750833,1871.0924913193953,1872.669114147757,1869.6179046886975,1869.4330056953838,1869.406459501655,1855.8331978513536,1871.0379370372555,1872.726627923768,1910.534564556863,1910.984380363081,1928.3216431791725,1866.662140557196,1868.75614655937,1848.763075251567,1870.8243150562798,1868.0177491172713,1869.1460863158122,1853.7023260109252,1871.2199316874828,1871.303473381171,1911.0315609557424,,1866.3945960854926,1854.3006537730364,1871.4987996100635,1871.7366281733553,1868.8080930793749,1869.373689385657,1852.160679192478,1870.647625770186,1879.317367566978,1911.8250440602815,1904.7539326374797,,1867.2167691057305,1848.6397859134922,1873.3728506408308,1871.3138859474543,1869.6727590836156,1869.039643687135,1848.3432756151428,1870.3948353803494,1868.6732008622641,1913.5434347635173,1921.3826975176212,1878.1242156199473,1855.1491589712869,1874.2771504595614,1872.042856914287,1870.7539303473864,1868.5514306391005,1847.7894292375381,1869.5369834211715,1872.5344336078488,1921.351831670615,1919.7230491527093,,1871.9663516794442,1871.876200929527,1871.9172216324102,1868.7851099143686,1925.2106711619817,
WOKHA,1879.3698765750362,1854.2034177692576,1878.859176318193,1860.7633066518622,1908.1564017790502,1916.718455829428,,1908.2182403322893,1880.048366519033,1876.4445440697252,1878.639492243979,1879.4565158542841,1877.1976270463667,1852.2870091835075,1879.4894494162913,1867.1813297288177,1913.550290680871,1925.9075361354849,1914.2141547657122,1875.431002962188,1854.493732505552,1876.1506646028306,1879.7649765814099,1876.3351602218775,1879.0961534301155,1850.5815191542208,1879.7887523468498,1836.3444585017146,1918.533649109935,1917.455574497089,1879.2325567595633,1857.0056708958855,1850.49680601963,1877.7727221759542,1879.5843807680044,1878.8299254504511,1845.7975569265823,1879.622732087016,1879.841994628441,1921.72634632934,1914.4724898253237,,1879.6461795664945,1866.0968604925577,1879.9527805449598,1878.9371534186482,1878.257717290447,1855.6253660987923,1856.501049993079,1880.0257258490315,1920.588599659377,,1930.7671537357967,1866.2661324233175,1877.8049235788899,1882.6398694966124,1879.5787192922292,1879.6034857321292,1879.6199621349922,1855.0846069835882,1866.3876483320091,1849.512729015457,1900.9531807836004,1932.671930760364,1921.5573291361472,1865.248539120839,1878.487858785865,,1876.0930301822434,1871.9928903004986,1877.6073271018493,1853.6881471292581,1852.1593771170865,1835.7803696277776,1912.4931389556584,,1867.5002246763688,1860.787647948871,1880.6326128567061,1882.2344290257518,1878.0944147242662,1879.6831414553353,1852.6432677938294,1871.3301595230546,1864.6527540046595,1915.4021785591156,1908.8293903125998,,1877.1942284811141,1857.6290041441991,1882.015604614072,1879.7568911254102,1879.6678755027629,1878.630801684188,1850.0725673220538,1879.7815930806673,1839.8739169843675,1916.4059398728405,1907.3631397655065,1879.983709940679,1856.6107035853672,1850.1550567134336,1881.9185173315811,1879.762325737217,1877.925642336215,1846.0329641421074,1879.8409587488998,1879.4194065616093,1922.0539691577144,,,1879.789769660856,1875.71097735376,1879.4912719576023,1879.2560397187326,,
ZUNHEBOTO,1877.6994213521032,1854.6774064482058,1876.5349398882277,1876.3605669180063,1906.7039439239945,1915.8758740065089,,1914.3733711330299,1874.2731418930184,1875.537886823553,1876.285978845001,1875.8142195751022,1874.4251163213096,1849.8528354635812,1868.834252587282,1871.1803824324431,1914.54677238164,1924.137995739429,1908.3874582635376,1870.6451952750467,1856.4851457980112,1872.917753932695,1877.896726172878,1875.6915381874835,1876.810751627724,1850.6510932573758,1875.7352316117378,1861.548006847466,1916.579979149433,1918.1096885101126,1879.8612313453395,1856.713040900565,1850.675441484988,1877.6569187406305,1877.173682740036,1876.7865148109947,1848.1005953520432,1878.9068215779268,1874.8418217857002,1917.972006033575,1917.0374765330657,,1876.7606452893037,1872.991982443532,1878.348939249033,1876.1693015790895,1876.6487392169136,1854.862945944163,1861.7775595219052,1875.3633835718772,1923.2568202095874,,1928.6121131570408,1866.4747871329614,1875.9425958696713,1880.4608344616006,1876.4662295704845,1876.8362544871213,1877.1316106128634,1854.9695154264984,1875.2279488007166,1878.7769153452991,1903.6147259542347,1917.531828520008,1928.1148246965327,1864.4599080297176,1875.237464181791,1848.155516353795,1874.8976837808568,1871.040017947196,1875.6080489383571,1852.07975581995,1868.9250899808223,1864.2570922140385,1909.828861985959,,1865.9776942536023,1872.4104503409205,1877.8607139412934,1878.6309086440601,1875.8439676494413,1877.1178305171265,1849.404041897886,1869.5349224932663,1868.7969675362872,1916.8878269429497,1905.6884457324618,,1870.9968027842485,1857.2265897731197,1880.2239439998075,1877.88707546465,1876.9841041287489,1875.78438345132,1849.9874236083504,1877.4224438959836,1863.893404249308,1916.4344730236444,1905.906839503715,1878.332198176963,1855.1786571055536,1853.426752698409,1878.7843602985217,1877.8059365835275,1875.88297008643,1847.793497137094,1879.0555625503712,1875.8327304068723,1917.3796746449534,1891.5413027396214,,1876.0702373179165,1878.1035324910742,1877.0837112317668,1876.3861398994434,1910.8250692015756,
