district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
ANUGUL,1854.4141348752537,1870.6407029953955,1860.3019373577547,1873.570947043179,1922.8990645971567,1878.0432309883586,1889.878949102147,1866.3061149243272,1874.7211970901171,1849.0666498380099,1877.277511058641,1878.4027183931805,1857.4360886902266,1855.167829588055,1874.4071019557803,1874.5194427707552,1917.1636453070334,1882.278852421589,1889.5140795278414,1867.1375760254607,1871.470947352801,1851.910450760342,1869.747084467037,1879.1895384114575,1850.3071318172424,1854.6747366746667,1874.4258640838384,1872.0135610349882,1913.4537630126158,1876.6781358140875,1897.5051185755528,1924.6305006644031,1875.3688043900656,1849.9274173094034,1875.9666421764975,1877.252678793803,1850.8553414497032,1862.9778808048375,1865.946468330618,1873.5111655803555,1902.0712657106128,1889.0477662461726,1876.2643650335685,1881.1370418637637,1869.5587100205992,1848.8896906354225,1875.7262514098059,1878.8159421283103,1850.7915978581784,1865.7794205536227,1874.4360516855327,1865.9887944304253,1919.3297269247744,1887.2475385869247,1880.7011957929749,1868.1619641751615,1860.4118010020525,1849.8053064613887,1876.504460343074,1878.4525868874266,1854.7958458079454,1869.411740050845,1875.1175750388775,1874.7310629726044,1916.0255900419986,1893.6522395187412,1891.0271953740328,1868.0609019829897,1872.7022514948842,1849.3845117879016,1875.9310912352603,1880.3746259791371,1853.3589658418396,1872.9221473831851,1864.8916121199586,1870.4850493146241,1916.0254728718164,1874.775013075982,1888.579344679373,1919.5405415230402,1871.757050684565,1849.1792501157988,1876.508159146438,1881.3848405698732,1857.1644815348086,1855.1249038646322,1874.3962239321972,1867.4575653099434,1909.5490421598681,1876.1539614022795,1881.6638490415635,1866.7166016086705,1871.5578051245611,1853.315604780069,1880.274942854147,1877.8861229497759,1849.817996276433,1855.0869823838145,1874.8540416111985,1872.8448178835981,1919.106736929699,1888.3695568129356,1872.8409290616821,1898.1646952041015,1874.5115690928358,1849.6896206660697,1875.2133381417364,1878.737494836333,1850.9985696801675,1863.985886179558,1874.1819971656967,1869.2980904557887,1899.0794969053609,1885.3909308615523,1885.0598517227024,1869.3709147587083,1872.0703095403708,1849.5589996345764,1877.8666397505917,1881.0829941043576
BALASORE BALESHWAR,1854.4039313410278,1857.351992488485,1876.3758456142823,1862.1904638164933,1915.409949024624,1892.9126186139777,1879.1777394586516,1886.8034982598554,1870.5455133115163,1850.0273231059402,1876.280710314842,1881.3150736208154,1850.090540681723,1867.467813901951,1876.9806319809286,1867.4229935800022,1919.0462380242197,1882.3245266437195,1885.46434643318,1869.7847492074184,1854.774235467826,1850.7092854721238,1874.088979074913,1879.3492370170613,1849.9133648702611,1875.0882865552596,1876.7619105441388,1874.1695217021156,1923.3569910341705,1887.3523936577526,1890.1107678824171,1867.1365625270112,1857.6595141784494,1848.656779376144,1876.8203373523047,1882.6043152406223,1849.9807863883238,1876.9008571275792,1876.5916884362493,1875.8249590725782,1917.3184934069923,1885.8051636377354,1888.3348627024368,1928.8579464245397,1853.3072225099836,1861.8281596835072,,1881.039856679013,1869.669505568229,1855.43337606268,1875.962773203775,1876.273416369906,1920.9775029459508,1890.0249395290846,1912.801946004523,1865.5432506191999,1863.3039994720816,1851.1825712025834,1876.2443303439518,1881.2356004578137,1855.970553480669,1857.392608971437,1875.7037458673115,1869.8517501048714,1920.4218301954602,1874.3044389826423,1896.4627252800706,1918.8033964004005,1863.573568403804,1848.073226097797,1881.7157185847004,1880.649383121745,1850.286812047101,1858.398394778231,1875.457311375061,1864.6587516843992,1903.831556610754,1888.2668043352098,1890.0936640444072,1921.3153083126956,1871.3030675737893,1857.2802673621748,1881.8526698914532,1877.3514644774755,1850.226089288918,1867.655582450292,1875.8156530820906,1870.2771073556928,1921.782743707134,1894.305582901546,1889.2622305626664,1871.3314381877829,1859.148984035708,1849.6879366404487,1880.6491990658953,1880.1836488527908,1850.579777882852,1877.778398955692,1875.8831473542973,1875.6072384246438,1920.658503664758,1895.2548312259194,1884.732200471481,1865.5023946052966,1857.6127046024076,1852.083074428752,1875.806647787218,1882.977186621533,,,,,,,,,,,,
BARAGARH,1850.433347656932,1855.7626748013686,1874.0045275317223,1873.675366918386,1905.1561137846256,1884.1671988301061,1882.8152543661952,1890.0409511003356,1875.1780361621647,1850.017471641566,1875.5601404962786,1877.9297768346669,1851.0277165630125,1866.5554270710402,1873.7550183942515,1865.2825232993005,1912.6205724361478,1879.6861455319718,1881.8574668018232,1916.0990017007432,1873.706565591622,1854.2948579989284,1875.8543063738232,1876.1510133240627,1857.3184074472167,1868.9545640892397,1874.5616902833956,1868.1712287910318,1900.9644560852712,1889.37173075404,1891.5954763369875,1865.22409135417,1873.2982325326666,1849.0548978148456,1875.3755348955092,1878.7630330357358,1856.906455565057,1866.952636709745,1873.9137207281658,1873.1386493491002,1908.0816132057007,1884.6534519188313,1897.7354872932679,1874.1630098775995,1875.5251392542655,1849.8056820880931,1876.0651151914785,1876.2506817115423,1851.1487393268212,1852.691361830732,1874.104693726039,1872.766736821261,1915.574258118916,1875.7373736827835,1897.581248006089,1921.5065828715567,1874.2887771373466,1851.0892997557833,1874.963940449676,1880.5106646691015,1850.3255154296326,1854.8297673910863,1874.502167902534,1873.6336992739803,1912.828770401909,1882.7775711634283,1892.9675178769548,1898.9001646619759,1874.5883815738766,1852.6639133895183,1875.1933188440369,1879.544518761212,1849.9086421886393,1868.3248294879406,1871.458806314617,1866.226417333995,1911.341546344043,1884.1603386151776,1878.8452824124283,1911.6555539656633,1861.530656736376,1848.7254428700426,1879.7791952538835,1876.3069910899349,1850.3727692094376,1867.8330618541247,1872.626815161347,1871.0772037893303,1899.7091481172058,1895.0221032253187,1886.8793804027528,1916.4418580276053,1867.127618352544,1856.7561465848037,1875.263233154179,1880.6562489730002,1857.5565724531928,1868.8742096788264,1874.5739918047004,1873.6806885622914,1928.3131137293856,1881.5819595322234,1889.2444584064854,1867.6649924667022,1867.4232120176346,1848.7484085413103,1876.366937436048,1876.0680931074903,1856.009778507667,1867.9157022395837,1861.6795616647746,1873.5427974311517,1920.2073788672271,1872.6234800948207,1890.06364982059,1867.6324095869136,1873.6651377656367,1852.5276860303031,1875.354999568108,1881.195864041814
BAUDH BAUDA,1859.3185846354336,1856.1558133386409,1875.0283358896334,1873.4397665639895,1909.6462729571008,1874.7548286241085,1887.9835285771069,1903.3169182204929,1875.2619910779488,1848.12564244777,1877.6492367771787,1877.055539443386,1850.9215162421988,1855.3900125673006,1874.3718151508583,1869.092192024426,1908.3517786481355,1882.5199093608035,1884.2986995426604,1902.8179480606302,1864.3839539279952,1849.5258157455578,1872.3780072119132,1877.236923833614,1850.5715672201377,1866.1503511345402,1874.9352928357118,1877.824344058604,1914.4349473085813,1881.6826105706707,1887.6861317482094,1905.9392296578528,1870.2194845122258,1849.4542452651726,1877.190975928938,1878.3499068263322,1850.4851385959216,1875.3516330595162,1873.4459801685398,1872.1788672124487,1909.8163877306965,1879.6196378961913,1897.174847169293,1872.4858387374493,1875.8008738166493,1849.2913347812982,1877.3551038293383,1877.3958113966758,1851.3471916741407,1855.4491373846029,1873.7589448805943,1873.6321881529188,1920.0899592147177,1875.871543747951,1886.5960343296088,1864.7636238569905,1874.699445430996,1851.2271636768623,1877.1748446376369,1878.6926036703633,1860.6365197471089,1855.7387210273223,1874.7315031418393,1869.2541980638248,1915.034748084564,1876.5265344222055,1893.130310492121,1898.7048122204706,1874.95556145455,1849.998741943466,1877.7299214621669,1878.2807510214648,1850.9720042614647,1854.9049257127351,1874.0493579221302,1865.4019445207298,1907.6419758362292,1876.1853274767623,1889.0983778480568,1908.1231354428317,1864.1902410948371,1848.4310752120043,1875.8476588053159,1877.4241060560948,1850.3266875827169,1856.7412340280334,1874.4195116183216,1870.5725030363822,1899.7756741609314,1884.972840405333,1887.115186557172,1903.2648945326323,1864.4369370141353,1850.3488128019505,1877.2065415832258,1877.2511874277147,1849.0049870187058,1866.1785176712722,1874.605557832906,1874.6511745171645,1920.668838579005,1886.115771778991,1870.9528075547937,1889.5516030167068,1873.4326608147537,1849.2230146090274,1876.9037963819464,1876.6268774552057,,,,,,,,,,,,
BHADRAK,1850.2287831726499,1857.8394705119922,1875.4138264225517,1862.4574138251764,1893.079455477327,1892.4841760499494,1873.090468923593,1880.2533933092068,1869.6582609420454,1850.0124901908925,1876.7727720458022,1883.6639735969961,1850.0706750710613,1876.606217330812,1876.1545702253463,1868.642086623523,1920.984521169976,1878.7663174012328,1880.5203432535725,1867.990556822445,1852.084341406506,1850.569441349842,1873.7887402057531,1880.4645900213695,1850.0760996972945,1875.6570616020158,1875.9437879404995,1875.697783043556,1921.2970883220985,1877.4956707264157,1890.7297381256187,1865.5185192630445,1854.3741461662821,1848.6452291916296,1876.1546197206264,1883.2185982930528,1850.1022450436462,1877.9499910501415,1875.451382016339,1874.962903738527,1916.688508726398,1883.3071545702192,1879.6889556114436,1924.2034127506743,1857.6953304754688,1850.0776765147416,,1878.6130555138293,1851.0142463182815,1857.7630537292691,1875.6022668833448,1876.081957535934,1927.776005790378,1890.0385665204371,1899.1609962277014,1865.5010637245687,1871.1106445207795,1852.3248238834403,1875.2238346423253,1879.6279562226123,1849.9735171450125,1857.4954141786247,1875.370350893724,1868.2281829407707,1908.9789091865623,1871.5277858173067,1898.045096924233,1911.3237588368909,1862.38045245417,1848.4047389209575,1880.9501795906974,1879.579497287521,1850.9499698982002,1865.3350585314574,1875.2609746817236,1862.6864780322687,1889.3068094779956,1880.995474901599,1889.3540077847183,1922.6667195742982,1869.7510034163765,1857.3100704549395,1879.5566988904795,1875.588771270845,1850.7425929918302,1876.004832975932,1875.080898851001,1870.1665086924093,1922.877575094013,1894.6732650910826,1884.9056308349896,1864.2991343414851,1866.7959040396388,1849.7651617365066,1878.9289431356617,1880.789020921765,1850.5977379570159,1875.552860783315,1875.2241928715916,1875.1164420011112,1922.3220348003342,1894.0022780043475,1885.4429171450886,1865.1955106627624,1867.9092963290566,1850.0886177302177,1874.8035187639612,1883.177802205491,1849.9524944162445,1855.8593168031134,1875.6104855632152,1864.9734456002777,1918.1080752594692,1890.816482038736,1891.6769396871723,1867.3464158715583,1852.490718410796,1851.3287997811974,1872.5018623079009,1881.7478126540257
BOLANGIR BALANGIR,1850.8633172976788,1855.808688736629,1872.4054401405683,1877.1558768935117,1899.4662595978134,1875.1478235590187,1887.213454037033,1891.1063750514552,1874.8919603545621,1851.6863637702554,1867.3296032227474,1875.3029754211627,1851.3686957932944,1873.87280710465,1873.3231370450533,1866.0965082408643,1903.6714038092784,1873.4239982546667,1887.8949322384249,1924.8213773104662,1864.8636135967688,1850.8923249278093,1875.4609380464708,1875.352347885346,1857.6216380854387,1867.1150151221498,1873.5587923177227,1869.7322408732248,1909.7966105061982,1883.7293854214263,1891.4554505330684,1865.5942745609848,1874.5895883517037,1848.3724133023707,1875.246260673125,1877.87703225337,1855.3199250796517,1866.4000212184249,1873.0447384210286,1872.8427296485886,1901.7041602935935,1879.471294522005,1896.378974514023,1914.214313845442,1875.5144839800196,1848.2910607467786,1875.5315047577956,1875.465985681299,1851.6621823945052,1853.0242261180576,1873.1913302196535,1872.8781260621358,1923.0348880458882,1878.3813952098997,1894.2181960522148,1909.618530597762,1872.1988898126858,1852.4627653208152,1874.6378338634436,1880.3594484933271,1848.335531416403,1853.5049291670828,1873.4287664264489,1871.9556326844358,1907.5527005702215,1872.3704082842055,1890.7549059494158,1891.2938166760548,1873.7484098869193,1855.523359815831,1874.9719634261794,1878.5982719126596,1850.5399173519334,1863.0442759839075,1872.689252505295,1868.3789235784936,1902.097471851328,1873.6243027190483,1880.3391835423438,1908.3390812428556,1864.0142507938117,1847.1251191285355,1878.5408172066345,1875.4186636344596,1851.3717629196465,1873.9043732757746,1872.089796541736,1883.213599420376,1896.7667526788402,1894.529822944996,1890.7270094791145,1917.9455068884106,1864.047072235126,1854.8888451160526,1874.9257411317033,1880.7339481496913,1857.5574959806486,1866.1568093665362,1873.4845613623536,1873.2654493759078,1925.8609968649157,1886.6515294090748,1891.49578349723,1864.566843335869,1874.3727116603848,1848.4601253226856,1875.8902432284656,1875.7814319153192,,,,,,,,,,,,
CUTTACK,1850.225395703027,1874.5822021174881,1871.9955965477589,1871.7022982681572,1916.4115918114248,1873.7984786565778,1897.1272768453357,1870.3662197729345,1873.814003022313,1849.2531026032411,1875.9506541631113,1879.0495897753058,1850.789815496567,1858.4186928859917,1874.2167639741554,1876.9770346605217,1923.3391629564615,1881.4211456843154,1890.0244242367598,1867.6326578724825,1873.399757923259,1849.0262181831556,1862.3778068794425,1878.733408358116,1857.0966535744144,1857.185926005136,1873.489162428293,1869.0915338785505,1914.527761037951,1876.8842669039943,1895.7681577658723,1866.7394713030328,1872.4405321719087,1847.8681105550145,1874.1283318572814,1877.2678129641972,1851.0582041391367,1858.028442761331,1867.7494582542545,1871.787925397585,1909.0278420973002,1893.2747943182023,1875.9830895925795,1919.090007012255,1868.8205619838695,1847.6776885677216,1875.3555713775445,1877.8115762676753,1850.1684191744089,1862.7401111047325,1874.2518204666396,1868.7923889970298,1918.6010670955031,1888.12271595151,1902.1576442861506,1883.3584570496726,1870.3837564286673,1850.0840846512406,1875.2895078629272,1880.2236743703643,1850.0694745072074,1873.407951482067,1874.6540782845354,1873.9477771007864,1912.874986995984,1890.1921599473496,1890.4190356847803,1907.9702632167819,1870.8372415079089,1849.322237919468,1875.7712704008886,1876.4839879920012,1849.3855525775102,1874.0164777310674,1874.2422565149002,1861.83555983066,1923.8160985365387,1876.2972955610878,1886.509654077422,1920.820715471028,1875.2232610739065,1849.4888208997297,1876.865057253571,1877.8974554714434,1865.9867811388067,1857.3894253283338,1874.451700230035,1865.543005744335,1915.035022715375,1889.0382623882408,1879.9437250436663,1867.3480928131462,1874.7181346933064,1850.4023894562326,1878.4116068260585,1877.1247539467888,1855.6342452537035,1856.9003288460385,1874.5277926937126,1867.5862899781262,1902.9031738454203,1883.3950744169474,1879.2525405187416,1883.953163035513,1873.5892198319925,1848.2197362562258,1875.0106874934706,1880.0128375987283,1848.3712959461252,1853.0815399315984,1873.9278806547868,1869.9544496397475,1910.186438444928,1891.4344021192737,1890.3707450264362,1891.323212581849,1865.9547544075504,1848.9420881474357,1877.550178976946,1878.7089286685994
DEOGARH,1859.9991096206957,1862.657593274084,1868.947800674951,1872.464651216243,1921.2287433083493,1880.7753744917968,1892.8888992482164,1867.0760737212518,1872.125594110602,1847.4152908495782,1876.504308829835,1875.277432086804,1854.3638355193284,1851.8792601138148,1872.249475528807,1872.2425165622426,1919.511488277988,1878.4914054372307,1892.4117771603383,1867.6745092927226,1872.6376062199581,1849.8767607806458,1878.8608520510777,1878.2154947884235,1849.1154345722075,1851.3295457539762,1872.351511448464,1872.6544863977615,1915.378785225089,1873.8176355112823,1909.0725892322746,,1871.7997949519367,1848.1805311708415,1875.9821289688264,1876.2485978285974,1851.1545983321596,1853.1543278762654,1876.7362604673426,1874.128747548409,1903.383568295835,1883.233212618031,1870.6018934304132,1867.3680941885018,1876.1438208437958,1861.7777714408487,1875.4294719314714,1875.6538908240186,1851.6385927743186,1862.0941852550643,1872.3279822126613,1867.1354093321606,1915.4607579065903,1882.2699241859027,1888.3970599550864,1867.7862549623085,1869.8216685997527,1850.1550877972725,1875.545458705791,1876.0047909217187,1861.038851583397,1862.9141146461554,1873.0737806279783,1872.530694460366,1920.2745433733653,1894.0858455937444,1890.5176210270995,1867.1723329329818,1871.7582036893791,1847.751770987069,1875.5772023398451,1877.363061875739,1861.3506843495816,1873.3580396222392,1876.1632130690436,1873.8356534366687,1914.6711969732905,1872.2420117901595,1895.0052748779067,1913.1010260716016,1872.0295130876402,1849.3415569895035,1876.687845344976,1879.1552852326517,1853.2908712013364,1851.5530832023328,1872.5018097896682,1873.6316661198666,1910.7994268449638,1873.2483772608443,1883.2293691976681,1866.480624217316,1871.5490519057944,1850.4102220547275,1879.18505319095,1874.7761101678338,1851.7177171285173,1851.4802437743224,1873.2141995273316,1874.3089951527957,1924.990851545255,1888.5210724795782,1870.5353727990757,1873.7233530202295,1871.7010822559525,1848.6987426231847,1874.945778144085,1876.6328079399764,1851.122569790723,1853.8687160839684,1871.1466174285256,1869.1338374844756,1912.444861190095,1885.0764648018699,1890.8320083510994,1864.1078059050576,1872.976562565337,1849.209445103659,1876.4359400496303,1877.5168556955737
DHENKANAL,1850.2607968814525,1875.8445642912093,1863.3673991074013,1875.2744965899064,1922.2607754541036,1877.611502808517,1891.486639864054,1871.809539436756,1876.569446118302,1849.9117379799854,1876.703937476285,1878.654200813838,1868.982630184032,1855.2182804734164,1875.3332966940077,1876.7166531415721,1918.9884089466063,1882.9151497719158,1897.1610645010633,1867.752172124563,1875.2726873520392,1851.2920801741977,1868.140059340014,1880.023692308315,1856.7006790705707,1855.6682064601941,1875.3790914672888,1865.016412879024,1917.7449935797388,1877.1940967150751,1896.4037929671795,1865.9588687765079,1876.2249035309703,1847.6613093615526,1872.720885007497,1876.5558510745989,1850.5700539814604,1855.3653807393941,1861.87095181802,1870.7897702940575,1900.3142823168973,1892.205580178646,1876.1739023916432,1923.2325689717484,1866.648536725038,1849.802066883326,1875.920639566002,1879.4573866022827,1849.7604918821298,1863.5552543134518,1875.6778910086482,1865.5881143117497,1918.3711541131568,1886.074355920683,1883.1174009746042,1890.3933105503152,1858.6766352711447,1849.3568618459803,1876.174146716362,1878.8735041924162,1849.6792623924944,1874.6464174130676,1876.9788016704244,1875.9197434734285,1916.380354474026,1892.7861100502691,1892.3524131419529,1888.006629795638,1876.0935944678124,1849.9718139033012,1876.0431510137328,1879.195938155027,1850.408910846109,1874.7289089934077,1875.6078094608279,1863.6677662752434,1933.2715200235384,1876.5311197483963,1886.6080131804904,1925.2387822990188,1873.3813990605713,1850.7763658151448,1876.467755668169,1881.4171652840687,1877.6951130405917,1855.2263994581836,1875.3606855835897,1863.1570896379392,1907.409567529213,1884.042185787667,1884.2485341357215,1868.5740108382304,1876.068432882179,1851.4029617419133,1880.230423382714,1877.472077780673,1855.1661385664836,1855.2051828669653,1875.908667559354,1864.8832855333349,1920.929781951058,1883.4306209116507,1876.8081650118968,1908.7197957816688,1875.6487768340148,1847.3928790940508,1875.114044086599,1879.5949959898478,1849.7613169662166,1854.6099180406445,1875.5335472702204,1870.294066999402,1895.4228059859481,1889.4878161921174,1887.2746407361624,1910.8869970976828,1866.4692854733044,1849.7094836371095,1876.8333766969358,1881.1918217757236
