district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12
ARIYALUR,1861.4899548643205,1872.2155053937797,1871.744585471773,1874.6760005130727,1865.5940930608106,1867.6900190505753,1872.439698881613,1878.0929166680876,1868.2124317316825,1868.840355903189,1845.4154047929258,1846.5473556714649,1855.7032126311922,1873.1834426746734,1871.879131055235,1875.8562639356594,1865.1353800519191,1871.3991322440174,1868.9074518818047,1876.8066868463811,1879.1953829134404,1871.5441011985415,1845.8106007932822,1846.4238549860029,1845.6461768554057,1869.8918228776467,1870.6105324162208,1864.9127356936062,1862.6232665944406,1869.0411147674683,1868.9920580373453,1867.2957067356797,1866.704053472589,1873.2080442510862,1847.3911875195245,1845.2777833158898,1846.554390618044,1870.2065023093396,1870.1357679731782,1869.9331571472096,1866.5414996214154,1869.5266731452346,1871.30206075484,1865.4850700692994,1865.1461982122464,1873.4021198071314,1854.0233861681322,1845.4909967415817,1847.940924398608,1871.7383133645155,1872.1742097788192,1865.883050276146,1865.9054025742585,1872.1774681187474,1871.0285089803572,1867.7553259238875,1865.9944931014415,1868.539246992951,1851.5608587056622,1846.3195752858455,1856.5163087103083,1872.473642080674,1873.3415098180178,1865.1760526608612,1865.6476151741092,1867.987815403089,1871.3492591958905,1875.3450695508477,1868.877346154137,1869.6659294866379,1848.9246885726307,1846.5225554993476,1857.7709505149596,1873.2815977642906,1872.3078492443599,1869.8521597618405,1866.0984687764392,1866.2769465076515,1869.8044913928413,1877.7160243170533,1867.5903289463363,1872.7119962276374,1846.0238726731434,1847.5241479870836,1874.161362596118,1869.6534229045126,1872.5011886251345,1873.8725706850907,1865.3447723476274,1868.8332151896755,1868.890249393778,1872.1511641090199,1878.5392489294645,1873.5308685885914,1847.3751512288277,1845.1804053196067,1846.079665742944,1868.7184808517768,1873.3804091298434,1864.7789813284944,1864.3951073619376,1871.8596832281464,1870.7970895855785,1865.2211047496219,1863.0514705043854,1873.0214660893,1847.3402605522922,1847.0879228952888
CHENGALPATTU,1857.4453543839368,1874.4506497311183,1873.158493803311,1875.4992406559818,1884.2649897555661,1869.7235105967466,1876.328603313916,1865.1695545623727,1867.0582578598528,1861.4146307896708,1848.976942534376,1850.2913122800114,1862.257866061048,1874.876887736016,1873.8349474036177,1865.4236676835994,1892.8456434419143,1873.8489124556502,1874.9961751216385,1865.8698332434137,1878.0773314358778,1875.1122713846728,,1850.1789204978552,1853.4143819931114,1873.654465287656,1874.4391759710986,1863.8783952233773,1886.7831272662188,1873.6805413353452,1876.7384288361457,1866.2585488267957,1865.1489625625159,1875.502376833884,1848.6957137579316,1850.058753470027,1851.4292470319672,1875.7362287586573,1873.165903845172,1860.9393662340156,1875.075868778184,1860.8296974677176,1875.0390504713569,1866.819620380812,1867.5900402701272,1877.2210525935056,1849.8336710255476,1850.2250554148272,1857.1638600159608,1871.0492535412548,1873.827414568405,1866.2299620253016,1877.546734337415,1867.409594313548,1870.1109597638538,1866.5406103391626,1865.7667234207963,1869.5217312875404,1849.3224435184263,1850.8664439429383,1857.3794107355561,1872.0658506541024,1875.0719365930988,1867.4130387348227,1892.835137959549,1866.0258337186438,1874.844717062378,1865.4617137922173,1864.923804479159,1876.7899036110389,1850.0932037135276,1850.1604297334443,1857.5043579462313,1874.8397532314655,1873.8046509845499,1875.9631240926055,1896.1813224016812,1870.7746308336318,1876.0444881730505,1865.1015834377977,1868.9096832140308,1861.646951197085,1850.355375899926,1850.2642414013626,1864.3976474305632,1876.011573769737,1874.3206198766472,1862.417043690619,1889.9254079567452,1872.4404905949689,1877.673352397654,1863.9956428691944,1878.6260597950097,1875.8537428316924,1851.0268733707098,1850.252503139804,1854.9956834462387,1875.0233385350148,1874.1650412740057,1863.012142616845,1869.3099166649363,1872.772197335138,1875.0189807825632,1864.717780657941,1864.7884885072165,1861.6979178154654,1851.2439931314445,1850.2468233108505
CHENNAI,1857.8404924455042,1878.826826410419,1877.1835586969057,1875.775489910749,1881.7631743911684,1858.6672670836867,1868.5631747290372,1866.0125759092039,1865.661606123105,1854.2194027267915,1851.8391043206439,1850.194897259012,1858.0132979055907,1878.2229395293932,1877.7625939715458,1860.8633581529255,1883.8320818171774,1864.618574717925,1873.3368682135656,1865.5248513008785,1872.0461824708548,1878.31121437211,,1850.2660065553644,1854.8269903784635,1878.3823972963219,1852.1516233744562,1863.6290671790734,1875.6982193518002,1864.4030159450622,1866.7279869874446,1865.5793919596977,,1878.879686765753,1850.1591062189416,1849.9392536527666,1848.4083182757406,1875.9173901345716,1877.8788964519213,1861.5649163120595,1915.3675758599582,1863.1086615497584,1866.5184321339182,1864.192860140691,1873.8785805905302,1880.1812427613652,1850.3438972767947,1850.3015875472704,1857.3149542590706,1849.9295477800476,1878.1963380908408,1865.2571647102995,1883.441966064887,1859.0191309426118,1875.942290932347,1865.1006936044084,1864.807393260991,1843.6705530559302,1850.5693951382884,1851.7528339960163,1858.3734912610555,1879.44125713654,1877.1495955765386,1886.3409879181456,1867.2971440971498,1859.7407249547693,1867.623147320748,1866.3613734980438,1863.46386886309,1879.3617597260877,1850.1980739792148,1850.046408704741,1858.3965684079192,1877.004903972251,1877.2312461473762,1878.2153369756604,1885.5259333449928,1859.7154231409913,1868.8057072713425,1863.5281847765095,1870.0340018081702,1849.10623769862,1850.1458867802057,1850.396425717742,1858.3553140665683,1877.4549481314482,1876.6712772530263,1861.1044503185358,1866.1486475433483,1863.0661874220416,1868.13964640825,1860.8328152306708,1872.0095719166598,1879.3287053630077,,1850.2681817286996,1854.4768816945684,1878.5452539403136,1879.2933115997027,1862.6529692629585,1867.909381098047,1864.0012959528954,1865.0997492712424,1866.089349597965,1867.4676380327717,1842.4965272065158,1851.9825651585986,1849.9682564212235
COIMBATORE,1858.0580333580215,1875.940509129398,1854.9356098538121,1889.2074344435212,1869.1490654250838,1856.1775707035754,1850.4050796802128,1865.7678846004346,1867.674134298032,1866.63231623946,1848.1404063454702,1846.6996035262162,1873.7556434068886,1877.862171288343,1873.4987960265455,1864.8813793987365,1865.46022434593,1852.411060089761,1876.9601411475267,1865.2646168487997,1865.448425104425,1871.104713268224,1854.652725262178,1846.652129025497,1876.106662222665,1865.0163347349533,1872.1335082015655,1866.3433614504631,1870.1073296841973,1856.3279937650352,1851.4906645356934,1866.0567685339072,1866.1564375918604,1876.7283577555315,1854.3912082147028,1848.0220652955354,1855.7551955766603,1868.3510475550952,1876.9026845942778,1866.0803560627398,1867.4779634143474,1855.5524484234347,1877.4136162767022,1865.444413672339,1879.587374984016,1853.956354942708,1852.015142833235,1848.8655724397586,1857.3002767349606,1876.255505496717,1861.0985408619276,1871.0708183051638,1877.163563964388,,,1876.9351615181793,1871.522634959773,1868.4837483564709,1850.2424888034072,1848.2050600101315,1856.9717231864947,1873.6442835308076,1876.6607377013706,1872.108451226955,1872.8101276256323,1866.7129351953834,1852.7174637381802,1867.1955959426382,1871.132209943496,1877.793292022867,1847.7741284538613,1848.781255458665,1859.0729607834228,1877.1675696117388,1876.942818277586,1885.1984873732058,1872.5723360785887,1861.351488169077,1855.3617377328019,1865.7097752375469,1868.3596624810646,1858.7430491200919,1847.803707012504,1846.5004907249909,1862.7792131369736,1877.4578484890962,1877.0153550602297,1864.2135193596948,1872.8637223880817,1870.724644728639,1877.4204264698956,1864.4328440345487,1867.2142045003804,1873.9139913878082,,1847.9726786794756,1874.5923313102783,1877.7062067688387,1877.0409704814876,1864.794534339332,1869.2323273160573,1869.9435219607815,1871.5025268240076,1865.274441814102,1890.0371141185758,1877.751360630265,1853.1635219213413,1849.235157241898
CUDDALORE,1857.7645225253468,1871.9059023881446,1871.0420625285499,1875.738302750805,1865.9155749014678,1873.898484348744,1873.5338660211576,1869.179516131261,1871.8004902918524,1871.5788390377295,1851.2066906288624,1847.4470403177809,1865.7770107952936,1872.7448384333677,1871.8345183088916,1875.1124903993748,1864.3504435281739,1873.7022614027276,1872.3700283797475,1867.8588393043542,1874.5241449645007,1872.6345558522214,1850.7283231590823,1849.2582692652245,1851.2125268001992,1871.2094942298215,1872.416089295968,1867.72343736779,1863.3028340335056,1871.7050168208218,1872.6754689201837,1863.961540158237,1867.2613074304304,1872.4005843074856,1850.8611029209735,1847.533671052335,1852.2236634354895,1877.1264380874009,1870.6843194677374,1864.7473033194879,1868.778530185987,1873.5339766388634,1871.6743016409482,1864.9288762771614,1864.2849674423785,1874.2648497814303,1852.319356615779,1846.7995538573073,1852.0746771400652,1870.8745819417243,1871.7121578446283,1865.212998369933,1875.8448787543766,1874.5472473383838,1871.7707545600624,1874.2643613903692,1863.7010302810588,1872.5520305485384,1852.8569292497946,1846.6258960176617,1853.8321459080346,1872.2570706404474,1873.641138172712,1863.5390075942564,1875.4492653169968,1873.176941289369,1872.5649922128025,1872.06574570709,1872.3226216429098,1872.7957005045248,1847.7446191950744,1846.947890212575,1865.2655348121325,1873.0770708732928,1871.8630311351073,1874.791560328319,1866.887661927965,1870.2189177748558,1874.1255129735205,1869.4622254756096,1870.4679986085207,1875.3791109781832,1846.7116360087052,1849.0363211247757,1871.8320489421712,1873.7871431252518,1872.2208805275927,1871.8581930341963,1865.6518671917138,1872.4628507223338,1873.0996385095925,1866.3983237083094,1874.3942943605605,1873.5287294432483,1851.9443932248341,1847.0746234340056,1851.1963553461965,1873.066838664809,1873.652645810454,1867.703013640626,1869.4429431357212,1872.2398131948853,1873.7960375610298,1866.8161978795317,1865.8750765983111,1872.3706990268015,1850.654865363279,1849.883434014287
DHARMAPURI,1851.363139550667,1873.8424477038773,1875.6088122150582,1865.1278591059809,1865.8947446661134,1872.4526504180744,1872.7089392036924,1865.0146520255646,1866.966515876996,1873.138254914157,1848.7551712734837,1848.0789619643986,1852.4431337877486,1873.883115212421,1873.917798695219,1865.7832903578606,1893.5423757345363,1872.929994532259,1874.0295819294,1873.6781205936659,1866.3368218556784,1869.6548019099953,1852.8205882701968,1848.062313909396,1852.0915702750633,1874.4810587729507,1876.1386443089928,1865.6719762160715,1886.5260144310876,1872.7029157473366,1864.5157683320133,1868.3319166934766,1866.5630330652796,1862.654909519405,1848.0022465031536,1848.4002737516091,1854.79127637117,1874.5904545294181,1863.1166226022822,1872.0511891127817,1893.9507607195353,1872.7769729484132,1863.012216104592,1866.9968922935689,1868.7214821961966,1873.2795047384536,1852.1974013207334,1847.7105646408552,1864.7308041165736,1874.6479242270061,1876.1728625226922,1873.0276032590668,1868.2496106815513,1868.2506012478302,1872.744560900751,1867.3279509573747,1872.0036810859226,1874.7230361007291,1849.537887853062,1846.5230000131426,1852.3137832261045,1874.2832772348982,1873.628181541441,1868.339126603321,1867.7098412286377,1871.202018006996,1872.2013007736218,1865.0233515736668,1865.1057788437747,1864.8919642345518,1849.194777684269,1844.880864528972,1850.6309725156998,1874.120411239181,1873.9257869970836,1863.1062165305755,1867.8519900562321,1871.009288032418,1865.7738911250094,1865.962420764298,1866.2800029499251,1862.5714252004109,1848.734197911382,1849.7865298412912,1867.4566905740478,1874.961989407643,1875.1998719568246,1868.9122470665475,1884.1478062330737,1871.8152298405664,1869.662735182585,1871.6536966432025,1864.6926671807673,1860.9388037800277,1847.9350227207983,1848.5248030293094,1851.995763293703,1874.6731351371438,1875.0120884861383,1868.3802266225327,1899.7325157911941,1873.4313687967372,1866.2801735593596,1866.8361073442316,1863.4872271496586,1862.4452744941411,1848.4052137053075,1848.362881727262
DINDIGUL,1853.6551105892536,1873.6505429954227,1874.5379089354572,1865.2233221532053,1866.0364669363726,1872.4881750881282,1872.8355179961939,1866.466923009345,1866.9662309829948,1872.626646121676,1852.256329931638,1849.2385230816667,1855.425036079556,1873.9724383535054,1873.751166611705,1865.9254018277702,1865.8821933461184,1871.4606678460834,1867.0115434037548,1862.7396870154055,1866.8596896353858,1867.7121455072809,1854.293794366985,1850.520406457559,1865.7887548975475,1872.6441592717817,1875.1458291613012,1866.3994053215272,1886.030366862186,1871.4992608183943,1861.7844441645727,1870.8134319653711,1866.0028044138126,1865.6523259858595,1853.024596738,1850.2353838170247,1859.3113794965295,1874.7277533025265,1869.5887443030779,1872.1511830682296,1864.247102467966,1862.008743706271,1862.3913441168593,1874.4297548620643,1865.4336481185883,1863.645180108056,1854.4144413409733,1849.8127075635718,1866.969378418635,1874.4742714707393,1872.2042475536055,1870.1909903381888,1865.2233137507276,1865.3183833098328,1866.8277025376087,1873.4946136203362,1867.3678510610941,1873.6853891065527,1853.702028013792,1851.0591044431949,1853.0998390813327,1873.6942294308592,1873.762466009709,1868.0689021702997,1863.875285740779,1864.1167169527932,1864.806151837223,1869.3136248415422,1868.01915378238,1865.219421121414,1850.367677552304,1850.8697597982807,1853.109977511842,1874.0720963469316,1874.0448068916526,1864.7184596087964,1867.8371961176958,1870.191616208981,1874.0986648953467,1867.1161804963901,1864.8166773640648,1865.3860002008412,1852.1784472197783,1849.548946525886,1856.1553885014232,1874.8988827303651,1874.4087903768875,1866.4121752009412,1866.1147216011118,1873.9991908208567,1863.2744218910339,1870.3934035795169,1867.6068655922925,1872.2062523059412,1854.841778956564,1850.0381208034123,1866.9475926243113,1868.63226587848,1876.2474337281335,1865.0879658497265,1866.4277383187746,1876.06603217501,1868.8442530249642,1874.7866258523397,1865.89417455238,1869.3032727955087,1852.7949795671364,1849.364860724624
ERODE,1852.9550100667366,1874.9273103516293,1865.3516954106067,1882.4277922732078,1881.2801671989314,1870.6273651199274,1861.7372435941543,1865.8363199750986,1866.1598013344044,1867.9411656182617,1850.09325779554,1848.5801857334036,1852.6561401323504,1875.1935477710272,1869.0836505187046,1864.5563790221192,1870.5432751169865,1869.9768547475503,1875.133640592074,1865.7679216777283,1864.7299663417832,1870.23435980671,1853.5098267551698,1848.5739561315459,1866.4520095012026,1874.123863643529,1874.543747331162,1865.732042711495,1870.5081181305795,1874.1667743795977,1863.8860621339752,1868.0894675912461,1866.320771047612,1873.7310749924268,1850.5600493776878,1848.2481531701499,1852.7435513921077,1874.9177744823628,1873.7527613240113,1867.2955994902652,1869.5889650467798,1865.6594300938218,1875.849931651664,1869.8544718554656,1880.9382372288283,1863.4008380635637,1847.2636308691162,1848.9238598500124,1855.7822973144105,1875.451423750604,1873.0542287568737,1877.0465351152404,1874.1454775681116,1873.1061773678196,1872.4730044307453,1870.7926431295643,1873.43950841982,1875.3838625621731,1846.7470031506934,1848.9762750268046,1852.1371782888534,1874.6418358350527,1874.9339902793556,1876.5664231764922,1868.0032875564661,1868.3394774968492,1862.7353530237492,1866.5976139621387,1869.5051242948743,1871.453773978169,1849.1094861406464,1849.147617794417,1852.1665055621504,1875.3661088040685,1874.9539320496333,1882.5714372018367,1872.507839494162,1870.5370317758768,1865.1255977495307,1865.964358616489,1866.7953762725858,1862.4831089255129,1848.3220386397734,1849.5357203160677,1854.4862909110773,1875.8224484713523,1875.6225342844343,1864.8146749792465,1873.774785695138,1871.295830343593,1875.2800994421043,1866.4879482773165,1865.993598965584,1869.980350240288,1852.4257308998626,1849.443120488813,1866.314369182746,1875.1327652765333,1875.6252639625836,1864.3988553283984,1870.80187654808,1868.2387833425498,1868.286261661885,1866.1264719482303,1872.9660203662572,1875.1334868602105,1849.1753342269565,1848.6047793751864
KALLAKKURICHI,1853.4886519198014,1873.272187340534,1873.7312213749353,1871.8821737840274,1869.9850848466888,1873.8143127074984,1874.1613681906908,1867.9302899277066,1882.9663497570166,1870.7044401358276,1847.4831367857475,1848.569059584345,1853.4770723270917,1874.316104927769,1873.3659766525648,1878.9285310078703,1867.0377182382522,1863.9872743462986,1874.2188965743833,1867.094945044935,1872.2258821578841,1873.78512116805,1854.8382032910717,1848.5537290099385,1852.4383245323834,1874.2271244057265,1874.8625576344416,1888.7579232929306,1863.3318050161956,1864.2561630156295,1870.2291076498134,1865.7830450901217,1868.4256784442134,1868.7112531130642,1848.587084185619,1848.675445385943,1851.625212833106,1874.2700914946784,1867.7557210059126,1873.0010347431764,1879.89445212572,1867.0315521784923,1868.4720711336984,1864.3315363212173,1865.0058150195662,1870.5415653356768,1853.1010195877896,1848.2559443248585,1852.646348043897,1873.0634535947531,1874.1637004688587,1864.4277341931888,1873.9792637347402,1872.7479976349625,1872.1478651468367,1866.5902717855006,1863.8781149217796,1874.1770601932224,1850.1046992693487,1847.8762318422137,1851.0798197455085,1874.4718313449207,1874.6069125716526,1865.8062127743374,1872.88515646804,1870.620272007518,1874.6897461825283,1871.6376899735546,1888.7007485260572,1868.8502727763555,1847.5145877922953,1848.3089040715922,1852.6699664231066,1874.4791978930862,1873.414172363954,1869.7377292236577,1874.1873217691075,1872.8091789037844,1871.7403930531568,1872.3207677156324,1876.054556978409,1869.8515111790614,1847.754544006073,1848.9237122778652,1871.8651385342346,1875.3201935336797,1874.4703395615377,1896.030549471443,1869.0495339887939,1865.6283560594006,1871.3792306327862,1866.3861132366012,1872.4416533580088,1873.4727688515413,1848.5195840466738,1848.7449808899532,1852.366769310779,1873.8681984996226,1875.5056519356658,1885.5423243478974,1881.6261341884785,1864.8627547324893,1870.7906150488752,1874.8795364533305,1867.39903878455,1872.2209086137996,1849.2580868963648,1849.2482746853675
